name = 2021-11-11 08_56_25 CO-strip_01_01_CVA_DUSB0_C01.mpt
technique = EC
tstamp = 1636618671.0
backend_name = memory
id = 9
timecol 'time/s' for: 'raw potential / [V]' and 'raw current / [mA]' and 'selector' and '$U_{RHE}$ / [V]' and 'J / [mA cm$^{-2}$]'
N_header_lines = 9

time/s,	raw potential / [V],	raw current / [mA],	selector,	$U_{RHE}$ / [V],	J / [mA cm$^{-2}$]
7210.671658754349,	0.051164657,	-0.001128856362611987,	11,	0.051164657,	-0.00575947123781626,	
7211.671658754349,	0.051111232,	-0.001129432419012304,	11,	0.051111232,	-0.005762410301083183,	
7212.671658754349,	0.051176149,	-0.00112843747169245,	11,	0.051176149,	-0.005757334039247193,	
7213.671658754349,	0.051107354,	-0.001128733730060049,	11,	0.051107354,	-0.005758845561530861,	
7214.671658754349,	0.05118376,	-0.001127037603198551,	11,	0.05118376,	-0.0057501918530538315,	
7215.671658754349,	0.051160853,	-0.001130700104078278,	11,	0.051160853,	-0.00576887808203203,	
7216.671658754349,	0.051107429,	-0.001128674508281984,	11,	0.051107429,	-0.00575854340960196,	
7217.671658754349,	0.051134065,	-0.001128393456921913,	11,	0.051134065,	-0.005757109474091393,	
7218.671658754349,	0.051095936,	-0.001127442390238868,	11,	0.051095936,	-0.005752257093055448,	
7219.671658754349,	0.051157046,	-0.001127239240892232,	11,	0.051157046,	-0.005751220616797103,	
7220.671658754349,	0.051172342,	-0.001125540710892528,	11,	0.051172342,	-0.005742554647410857,	
7221.671658754349,	0.051157046,	-0.001123472698882688,	11,	0.051157046,	-0.0057320035657279994,	
7222.671658754349,	0.051137947,	-0.00112354452055879,	11,	0.051137947,	-0.005732370002850969,	
7223.671658754349,	0.05114175,	-0.001124959179211875,	11,	0.05114175,	-0.005739587649040178,	
7224.671658754349,	0.051107429,	-0.001124697781400754,	11,	0.051107429,	-0.00573825398673854,	
7225.67165851593,	0.051157046,	-0.001126498775416986,	11,	0.051157046,	-0.0057474427317193155,	
7226.67165851593,	0.051160853,	-0.001122492040577345,	11,	0.051160853,	-0.00572700020702727,	
7227.67165851593,	0.051168539,	-0.001123262083204464,	11,	0.051168539,	-0.005730928995941143,	
7228.67165851593,	0.051160853,	-0.001122301061917099,	11,	0.051160853,	-0.0057260258261076485,	
7229.67165851593,	0.051134139,	-0.001124028144474142,	11,	0.051134139,	-0.0057348374718068475,	
7230.67165851593,	0.051122651,	-0.001124939094274306,	11,	0.051122651,	-0.0057394851748689074,	
7231.67165851593,	0.051114965,	-0.001121023780852557,	11,	0.051114965,	-0.005719509085982433,	
7232.67165851593,	0.051172342,	-0.001121753226034345,	11,	0.051172342,	-0.005723230745073188,	
7233.67165851593,	0.051191371,	-0.001118731558253058,	11,	0.051191371,	-0.005707814072719683,	
7234.67165851593,	0.051149435,	-0.001121962884906682,	11,	0.051149435,	-0.005724300433197357,	
7235.67165851593,	0.051118769,	-0.001118984154658394,	11,	0.051118769,	-0.005709102829889764,	
7236.67165851593,	0.051191445,	-0.001118352961842903,	11,	0.051191445,	-0.005705882458382158,	
7237.67165851593,	0.051137947,	-0.001123196232924239,	11,	0.051137947,	-0.005730593025123669,	
7238.67165851593,	0.051214352,	-0.001117273715953344,	11,	0.051214352,	-0.005700376101802775,	
7239.67165851593,	0.051179953,	-0.001119212148617953,	11,	0.051179953,	-0.005710266064377311,	
7240.67165851593,	0.051130261,	-0.001118474715109917,	11,	0.051130261,	-0.005706503648519984,	
7241.67165851593,	0.051134139,	-0.001117613673326561,	11,	0.051134139,	-0.0057021105781967394,	
7242.67165851593,	0.051122651,	-0.001117515657795595,	11,	0.051122651,	-0.005701610498957117,	
7243.67165851593,	0.051153168,	-0.001120447901356965,	11,	0.051153168,	-0.005716570925290638,	
7244.67165851593,	0.05114175,	-0.001117753082374112,	11,	0.05114175,	-0.00570282184884751,	
7245.671658277512,	0.051111232,	-0.001118803067551926,	11,	0.051111232,	-0.0057081789160812555,	
7246.671658277512,	0.051134139,	-0.001117994762002491,	11,	0.051134139,	-0.005704054908175975,	
7247.671658277512,	0.051137947,	-0.001115402452845592,	11,	0.051137947,	-0.005690828841048938,	
7248.671658277512,	0.051126454,	-0.00111959151881747,	11,	0.051126454,	-0.005712201626619745,	
7249.671658277512,	0.051134139,	-0.001115959697100335,	11,	0.051134139,	-0.005693671923981301,	
7250.671658277512,	0.051145557,	-0.001120702838641591,	11,	0.051145557,	-0.005717871625722403,	
7251.671658277512,	0.051115036,	-0.001116278770659122,	11,	0.051115036,	-0.005695299850301643,	
7252.671658277512,	0.051076837,	-0.001114892652234994,	11,	0.051076837,	-0.005688227817525479,	
