name = 2021-11-11 08_56_25 CO-strip_01_01_CVA_DUSB0_C01.mpt
technique = EC
tstamp = 1636618671.0
backend_name = memory
id = 9
timecol 'time/s' for: 'raw potential / [V]' and 'raw current / [mA]' and 'selector' and '$U_{RHE}$ / [V]' and 'J / [mA cm$^{-2}$]'
N_header_lines = 9

time/s,	raw potential / [V],	raw current / [mA],	selector,	$U_{RHE}$ / [V],	J / [mA cm$^{-2}$]
7636.671653747559,	0.051130336,	-0.001078653354756536,	11,	0.051130336,	-0.0055033334426353876,	
7637.671653747559,	0.051088326,	-0.001080743636679836,	11,	0.051088326,	-0.005513998146325693,	
7638.671653747559,	0.051137947,	-0.001079626397800166,	11,	0.051137947,	-0.0055082979479600305,	
7639.67165350914,	0.051134139,	-0.001080965504958295,	11,	0.051134139,	-0.005515130127338239,	
7640.67165350914,	0.051099744,	-0.001078289362334181,	11,	0.051099744,	-0.005501476338439699,	
7641.67165350914,	0.051118769,	-0.00107907867130125,	11,	0.051118769,	-0.0055055034250063774,	
7642.67165350914,	0.051176075,	-0.001076409555959983,	11,	0.051176075,	-0.00549188548959175,	
7643.67165350914,	0.051103547,	-0.001082442159543281,	11,	0.051103547,	-0.0055226640793024535,	
7644.67165350914,	0.051153243,	-0.001079594527406153,	11,	0.051153243,	-0.005508135343908944,	
7645.67165350914,	0.051149435,	-0.00107917697890662,	11,	0.051149435,	-0.0055060049944215305,	
7646.67165350914,	0.051172342,	-0.001076905633695424,	11,	0.051172342,	-0.005494416498446041,	
7647.67165350914,	0.05114175,	-0.001077677134843543,	11,	0.05114175,	-0.005498352728793587,	
7648.67165350914,	0.051092058,	-0.001080871929286515,	11,	0.051092058,	-0.005514652700441404,	
7649.67165350914,	0.05114175,	-0.001081594770937229,	11,	0.05114175,	-0.0055183406680470865,	
7650.67165350914,	0.051145632,	-0.001082392901205457,	11,	0.051145632,	-0.005522412761252331,	
7651.67165350914,	0.051137947,	-0.001080595564935357,	11,	0.051137947,	-0.005513242678241616,	
7652.67165350914,	0.051145557,	-0.001080350448028188,	11,	0.051145557,	-0.0055119920817764696,	
7653.67165350914,	0.051145632,	-0.001077500027534553,	11,	0.051145632,	-0.005497449120074251,	
7654.67165350914,	0.051179953,	-0.001079145385662561,	11,	0.051179953,	-0.005505843804400821,	
7655.67165350914,	0.051122651,	-0.001080306694831236,	11,	0.051122651,	-0.005511768851179775,	
7656.67165350914,	0.051111158,	-0.001078149100160228,	11,	0.051111158,	-0.005500760715103204,	
7657.67165350914,	0.05114175,	-0.001078159890789539,	11,	0.05114175,	-0.005500815769334382,	
7658.67165350914,	0.051164657,	-0.001080370548611972,	11,	0.051164657,	-0.005512094635775368,	
7659.671653270721,	0.051160853,	-0.001079053133551498,	11,	0.051160853,	-0.005505373130364785,	
7660.671653270721,	0.051202934,	-0.001079017452488187,	11,	0.051202934,	-0.005505191084123402,	
7661.671653270721,	0.051172268,	-0.001082194829522633,	11,	0.051172268,	-0.0055214021914420045,	
7662.671653270721,	0.051111158,	-0.001075053745042534,	11,	0.051111158,	-0.005484968086951704,	
7663.671653270721,	0.05111504,	-0.001079511685366744,	11,	0.05111504,	-0.005507712680442572,	
7664.671653270721,	0.051156972,	-0.00108167305228999,	11,	0.051156972,	-0.005518740062704031,	
7665.671653270721,	0.051153168,	-0.001081166058732198,	11,	0.051153168,	-0.005516153360878562,	
7666.671653270721,	0.051157046,	-0.00107814556589583,	11,	0.051157046,	-0.0055007426831419895,	
7667.671653270721,	0.051126529,	-0.001081726181705017,	11,	0.051126529,	-0.005519011131148045,	
7668.671653270721,	0.051179953,	-0.001080265068321023,	11,	0.051179953,	-0.005511556471025627,	
7669.671653270721,	0.051160853,	-0.001079590400715825,	11,	0.051160853,	-0.005508114289366453,	
7670.671653270721,	0.051134139,	-0.001082192874874454,	11,	0.051134139,	-0.005521392218747214,	
7671.671653270721,	0.051149435,	-0.00107859563754173,	11,	0.051149435,	-0.005503038967049643,	
7672.671653270721,	0.051176149,	-0.001077977785037369,	11,	0.051176149,	-0.005499886658353923,	
7673.671653270721,	0.051179953,	-0.001076202934887261,	11,	0.051179953,	-0.0054908313004452085,	
7674.671653270721,	0.051168539,	-0.001079087579238698,	11,	0.051168539,	-0.005505548873666827,	
7675.671653270721,	0.051111158,	-0.001079644181369805,	11,	0.051111158,	-0.005508388680458189,	
7676.671653270721,	0.051134139,	-0.001079339605243878,	11,	0.051134139,	-0.00550683472063203,	
7677.671653270721,	0.051145557,	-0.001077687298739329,	11,	0.051145557,	-0.00549840458540474,	
7678.671653032303,	0.051111232,	-0.001079480197315571,	11,	0.051111232,	-0.005507552027120261,	
7679.671653032303,	0.051114965,	-0.001077669304213488,	11,	0.051114965,	-0.005498312776599429,	
7680.671653032303,	0.051111158,	-0.001080002330127172,	11,	0.051111158,	-0.005510215970036592,	
7681.671653032303,	0.05108064,	-0.001080320145620501,	11,	0.05108064,	-0.005511837477655617,	
7682.671653032303,	0.051099669,	-0.00107876395233907,	11,	0.051099669,	-0.005503897716015663,	
7683.671653032303,	0.051149435,	-0.001076800301624463,	11,	0.051149435,	-0.005493879089920729,	
7684.671653032303,	0.05114175,	-0.001076979822991417,	11,	0.05114175,	-0.0054947950152623316,	
7685.671653032303,	0.051095862,	-0.001077252926304936,	11,	0.051095862,	-0.00549618839951498,	
7686.671653032303,	0.051149361,	-0.001079506221332124,	11,	0.051149361,	-0.005507684802714918,	
7687.671653032303,	0.051126529,	-0.001078346661839168,	11,	0.051126529,	-0.005501768682852898,	
7688.671653032303,	0.051130261,	-0.001081647372513544,	11,	0.051130261,	-0.005518609043436449,	
7689.671653032303,	0.051099744,	-0.001077128818794154,	11,	0.051099744,	-0.005495555197929356,	
7690.671653032303,	0.051168464,	-0.001076889678393492,	11,	0.051168464,	-0.005494335093844347,	
7691.671653032303,	0.051164657,	-0.00107987340555992,	11,	0.051164657,	-0.005509558191632244,	
7692.671653032303,	0.051126529,	-0.001076328207727057,	11,	0.051126529,	-0.005491470447587026,	
7693.671653032303,	0.051157046,	-0.001078562245925424,	11,	0.051157046,	-0.005502868601660327,	
7694.671653032303,	0.051111158,	-0.001078873503336219,	11,	0.051111158,	-0.005504456649674586,	
7695.671653032303,	0.051115036,	-0.001076130647340325,	11,	0.051115036,	-0.005490462486430229,	
7696.671653032303,	0.051168464,	-0.001073722640820781,	11,	0.051168464,	-0.005478176738881535,	
7697.671653032303,	0.051145632,	-0.001076767238660251,	11,	0.051145632,	-0.005493710401327811,	
7698.671652793884,	0.051103547,	-0.001077792165102438,	11,	0.051103547,	-0.0054989396178695815,	
7699.671652793884,	0.051126454,	-0.001077325704123361,	11,	0.051126454,	-0.005496559714915107,	
7700.671652793884,	0.05114175,	-0.001077803300740199,	11,	0.05114175,	-0.005498996432347954,	
7701.671652793884,	0.051172342,	-0.001075454733858353,	11,	0.051172342,	-0.0054870139482569025,	
7702.671652793884,	0.051122651,	-0.001076512941799593,	11,	0.051122651,	-0.005492412968365269,	
7703.671652793884,	0.051134065,	-0.001077178167190868,	11,	0.051134065,	-0.005495806975463612,	
7704.671652793884,	0.051099744,	-0.001078508174978201,	11,	0.051099744,	-0.005502592729480617,	
7705.671652793884,	0.051126454,	-0.001079451778077055,	11,	0.051126454,	-0.005507407031005382,	
7706.671652793884,	0.051095936,	-0.001073830645205453,	11,	0.051095936,	-0.005478727781660475,	
7707.671652793884,	0.051134139,	-0.001077613235183525,	11,	0.051134139,	-0.005498026710120026,	
7708.671652793884,	0.051145632,	-0.00107792477273615,	11,	0.051145632,	-0.005499616187429337,	
7709.671652793884,	0.051164657,	-0.00107598079100717,	11,	0.051164657,	-0.005489697913301887,	
7710.671652793884,	0.051092058,	-0.001077324268023949,	11,	0.051092058,	-0.00549655238787729,	
7711.671652793884,	0.051160853,	-0.001076350060827101,	11,	0.051160853,	-0.005491581942995413,	
7712.671652793884,	0.051122651,	-0.001073615462821913,	11,	0.051122651,	-0.005477629912356698,	
7713.671652793884,	0.051107429,	-0.001075758817652242,	11,	0.051107429,	-0.005488565396184908,	
7714.671652793884,	0.05114175,	-0.001073983422492167,	11,	0.05114175,	-0.005479507257613097,	
7715.671652793884,	0.051145557,	-0.001073612167220562,	11,	0.051145557,	-0.0054776130980640925,	
7716.671652793884,	0.051111232,	-0.001076434952567798,	11,	0.051111232,	-0.0054920150641214185,	
7717.671652793884,	0.05114175,	-0.001076476742618253,	11,	0.05114175,	-0.005492228278664556,	
7718.671652555466,	0.051099744,	-0.001074054977239575,	11,	0.051099744,	-0.005479872332854974,	
7719.671652555466,	0.051145557,	-0.001075887553021314,	11,	0.051145557,	-0.005489222209292419,	
7720.671652555466,	0.051103547,	-0.001074081632122398,	11,	0.051103547,	-0.005480008327155092,	
7721.671652555466,	0.051130336,	-0.001075089673907496,	11,	0.051130336,	-0.005485151397487224,	
7722.671652555466,	0.051157046,	-0.001072788255184423,	11,	0.051157046,	-0.005473409465226647,	
7723.671652555466,	0.051126454,	-0.001075594703515526,	11,	0.051126454,	-0.005487728079160847,	
7724.671652555466,	0.051130336,	-0.001076324979262426,	11,	0.051130336,	-0.005491453975828704,	
7725.671652555466,	0.051134139,	-0.00107602273116354,	11,	0.051134139,	-0.00548991189369153,	
7726.671652555466,	0.051164657,	-0.001074902480538003,	11,	0.051164657,	-0.0054841963292755255,	
7727.671652555466,	0.051111158,	-0.001075284999690486,	11,	0.051111158,	-0.005486147957604519,	
7728.671652555466,	0.051156972,	-0.001072724711359479,	11,	0.051156972,	-0.0054730852620381585,	
7729.671652555466,	0.051118843,	-0.001076042071089614,	11,	0.051118843,	-0.005490010566783744,	
7730.671652555466,	0.051084448,	-0.001075785647018348,	11,	0.051084448,	-0.005488702280705858,	
7731.671652555466,	0.051160853,	-0.001071551726630423,	11,	0.051160853,	-0.005467100646073586,	
7732.671652555466,	0.051134139,	-0.001075398082379253,	11,	0.051134139,	-0.005486724910098229,	
7733.671652555466,	0.051088251,	-0.00107654558197828,	11,	0.051088251,	-0.005492579499889183,	
7734.671652555466,	0.051111158,	-0.001073753843002487,	11,	0.051111158,	-0.005478335933686158,	
7735.671652555466,	0.051168464,	-0.001070691246818753,	11,	0.051168464,	-0.005462710442952822,	
7736.671652555466,	0.051126454,	-0.001073575034504757,	11,	0.051126454,	-0.005477423645432433,	
7737.671652317047,	0.051137872,	-0.001073775686952286,	11,	0.051137872,	-0.005478447382409622,	
7738.671652317047,	0.051160853,	-0.001074164160457441,	11,	0.051160853,	-0.005480429390088985,	
7739.671652317047,	0.051172342,	-0.001072635328397156,	11,	0.051172342,	-0.005472629226516102,	
7740.671652317047,	0.051134139,	-0.001073824034805876,	11,	0.051134139,	-0.00547869405513202,	
7741.671652317047,	0.051149435,	-0.001075024020567071,	11,	0.051149435,	-0.005484816431464648,	
7742.671652317047,	0.051099744,	-0.001073969454551117,	11,	0.051099744,	-0.0054794359926077394,	
7743.671652317047,	0.051176149,	-0.001076151963858865,	11,	0.051176149,	-0.005490571244177882,	
7744.671652317047,	0.051134065,	-0.001072880612150766,	11,	0.051134065,	-0.005473880674238602,	
7745.671652317047,	0.051157046,	-0.001073837521497626,	11,	0.051157046,	-0.005478762864783805,	
7746.671652317047,	0.051149435,	-0.001073640576959588,	11,	0.051149435,	-0.005477758045712183,	
7747.671652317047,	0.051160853,	-0.001075535324926023,	11,	0.051160853,	-0.0054874251271735865,	
7748.671652317047,	0.051084448,	-0.001076719738927204,	11,	0.051084448,	-0.0054934680557510406,	
7749.671652317047,	0.051145557,	-0.001073014936281834,	11,	0.051145557,	-0.005474566001437928,	
7750.671652317047,	0.051111158,	-0.001073654777207413,	11,	0.051111158,	-0.005477830495956189,	
7751.671652317047,	0.05108064,	-0.001075925042363819,	11,	0.05108064,	-0.005489413481448056,	
7752.671652317047,	0.051176149,	-0.00107395497339312,	11,	0.051176149,	-0.005479362109148571,	
7753.671652317047,	0.051134139,	-0.001072687425930054,	11,	0.051134139,	-0.005472895030255377,	
7754.671652317047,	0.051210545,	-0.001072533035755625,	11,	0.051210545,	-0.005472107325283801,	
7755.671652317047,	0.051145557,	-0.00107583317763638,	11,	0.051145557,	-0.005488944783859082,	
7756.671652317047,	0.051107354,	-0.001073382008087357,	11,	0.051107354,	-0.00547643881677223,	
7757.6716520786285,	0.051095936,	-0.001075862122699618,	11,	0.051095936,	-0.005489092462753153,	
7758.6716520786285,	0.051157046,	-0.00107403265920002,	11,	0.051157046,	-0.0054797584653062245,	
7759.6716520786285,	0.051118769,	-0.001075439964758698,	11,	0.051118769,	-0.005486938595707642,	
7760.6716520786285,	0.051145557,	-0.001072132342925764,	11,	0.051145557,	-0.0054700629741110405,	
7761.6716520786285,	0.051092058,	-0.001072965529561046,	11,	0.051092058,	-0.005474313926331867,	
7762.6716520786285,	0.051126529,	-0.001076881542569026,	11,	0.051126529,	-0.005494293584535847,	
7763.6716520786285,	0.051057734,	-0.001075741371128243,	11,	0.051057734,	-0.005488476383307362,	
7764.6716520786285,	0.051103547,	-0.001072580012632534,	11,	0.051103547,	-0.005472347003227214,	
7765.6716520786285,	0.051145557,	-0.001072367860097439,	11,	0.051145557,	-0.005471264592333873,	
7766.6716520786285,	0.051130336,	-0.001072545618948064,	11,	0.051130336,	-0.0054721715252452246,	
7767.6716520786285,	0.051126454,	-0.001073328847473024,	11,	0.051126454,	-0.0054761675891480815,	
7768.6716520786285,	0.051103547,	-0.001073727456049531,	11,	0.051103547,	-0.005478201306375158,	
7769.6716520786285,	0.051103547,	-0.001072934054292273,	11,	0.051103547,	-0.005474153338225882,	
7770.6716520786285,	0.051160853,	-0.001074755868269134,	11,	0.051160853,	-0.005483448307495582,	
7771.6716520786285,	0.051153243,	-0.001072725790087135,	11,	0.051153243,	-0.005473090765750689,	
7772.6716520786285,	0.051118843,	-0.001074411131802483,	11,	0.051118843,	-0.005481689447971851,	
7773.6716520786285,	0.051157046,	-0.001068153729138432,	11,	0.051157046,	-0.005449763924175673,	
7774.6716520786285,	0.051099744,	-0.001074462423229125,	11,	0.051099744,	-0.005481951138924106,	
7775.6716520786285,	0.051053852,	-0.001072385567834136,	11,	0.051053852,	-0.005471354937929265,	
7776.6716520786285,	0.051115036,	-0.001072264502372127,	11,	0.051115036,	-0.005470737257000648,	
7777.67165184021,	0.051092133,	-0.001072626800171565,	11,	0.051092133,	-0.005472585715161045,	
7778.67165184021,	0.051107429,	-0.00107243632960599,	11,	0.051107429,	-0.0054716139265611734,	
7779.67165184021,	0.051111232,	-0.001073872194741853,	11,	0.051111232,	-0.005478939769091087,	
7780.67165184021,	0.051137947,	-0.001073765199922493,	11,	0.051137947,	-0.005478393877155576,	
7781.67165184021,	0.051126454,	-0.001071209634945267,	11,	0.051126454,	-0.0054653552803329945,	
7782.67165184021,	0.051095936,	-0.001071013051306363,	11,	0.051095936,	-0.005464352302583485,	
7783.67165184021,	0.051107354,	-0.001073931657383221,	11,	0.051107354,	-0.0054792431499143925,	
7784.67165184021,	0.051088251,	-0.001073216661275365,	11,	0.051088251,	-0.0054755952105885975,	
7785.67165184021,	0.051095936,	-0.001072984805586749,	11,	0.051095936,	-0.00547441227340178,	
7786.67165184021,	0.051134139,	-0.001071488389465958,	11,	0.051134139,	-0.0054667774972752955,	
7787.67165184021,	0.05114175,	-0.001072963381349112,	11,	0.05114175,	-0.005474302966066897,	
7788.67165184021,	0.051103547,	-0.001066675637871959,	11,	0.051103547,	-0.005442222642203873,	
7789.67165184021,	0.051134139,	-0.0010691333904746,	11,	0.051134139,	-0.00545476219629898,	
7790.67165184021,	0.051107354,	-0.001072906689229422,	11,	0.051107354,	-0.005474013720558275,	
7791.67165184021,	0.051092058,	-0.001071678197581791,	11,	0.051092058,	-0.005467745906029545,	
7792.67165184021,	0.051111158,	-0.001070788709400222,	11,	0.051111158,	-0.005463207701021541,	
7793.67165184021,	0.051061537,	-0.001070176832459401,	11,	0.051061537,	-0.005460085879894903,	
7794.67165184021,	0.051160853,	-0.001069829002965707,	11,	0.051160853,	-0.005458311239620954,	
7795.67165184021,	0.051168464,	-0.001070117934176233,	11,	0.051168464,	-0.005459785378450169,	
7796.67165184021,	0.051153243,	-0.001070474123640454,	11,	0.051153243,	-0.005461602671634969,	
7797.671651601791,	0.051076837,	-0.001071433540957514,	11,	0.051076837,	-0.005466497657946499,	
7798.671851634979,	0.051103547,	-0.001067784878267846,	11,	0.051103547,	-0.005447882031978806,	
7798.712251663208,	0.051168464,	-0.001068647135980427,	12,	0.051168464,	-0.005452281306022586,	
7799.132051706314,	0.048984833,	-0.002557824759934449,	12,	0.048984833,	-0.013050126326196168,	
7799.931651592255,	0.044983231,	-0.003611597185105699,	12,	0.044983231,	-0.018426516250539277,	
7800.731251716614,	0.040969342,	-0.004789316245783354,	12,	0.040969342,	-0.024435286968282417,	
7801.41095161438,	0.037576903,	-0.006052551639594811,	12,	0.037576903,	-0.03088036550813679,	
7801.693851709366,	0.036058951,	-0.0067829554900527,	12,	0.036058951,	-0.034606915765575,	
7801.733851671219,	0.036387488,	-0.004354123890428156,	12,	0.036387488,	-0.02221491780830692,	
7802.153651714325,	0.038506001,	-0.001558272857637244,	12,	0.038506001,	-0.007950371722639,	
7802.9532516002655,	0.042509299,	0.0002323088343106619,	12,	0.042509299,	0.0011852491546462342,	
7803.752851724625,	0.046513762,	0.00082444168324073,	12,	0.046513762,	0.0042063351185751535,	
7804.552451610565,	0.050493214,	0.001008924208417694,	12,	0.050493214,	0.00514757249192701,	
7805.352051734924,	0.054498296,	0.001034517188316019,	12,	0.054498296,	0.005278148919979689,	
7806.151651620865,	0.058500584,	0.00099751437661302,	12,	0.058500584,	0.0050893590643521424,	
7806.951251506805,	0.062486757,	0.0009431300964591483,	12,	0.062486757,	0.004811888247240552,	
7807.750851631165,	0.066487715,	0.0008870554130986212,	12,	0.066487715,	0.004525792923972557,	
7808.550451517105,	0.070485577,	0.000839484891708835,	12,	0.070485577,	0.004283086182187933,	
7809.350051641464,	0.0744799,	0.0008116846278611173,	12,	0.0744799,	0.004141248101332231,	
7810.149651527405,	0.07849703,	0.0007937001538425243,	12,	0.07849703,	0.004049490580829205,	
7810.949351549149,	0.082497343,	0.0007852093992689003,	12,	0.082497343,	0.004006170404433165,	
7811.748951435089,	0.086489871,	0.0007917245737850895,	12,	0.086489871,	0.004039411090740253,	
7812.548551559448,	0.090490758,	0.0007995122386634333,	12,	0.090490758,	0.004079144074813435,	
7813.348251581192,	0.094490506,	0.0008230178498800225,	12,	0.094490506,	0.0041990706626531754,	
7814.147851467133,	0.098494031,	0.0008480783250931281,	12,	0.098494031,	0.00432693023006698,	
7814.947451591492,	0.1024806,	0.0008837825646795241,	12,	0.1024806,	0.004509094717752674,	
7815.747051477432,	0.10648149,	0.0009247428586106506,	12,	0.10648149,	0.004718075809238013,	
7816.546651363373,	0.11048079,	0.0009750863913203563,	12,	0.11048079,	0.004974930567961002,	
7817.346251487732,	0.11448543,	0.001035079825436639,	12,	0.11448543,	0.005281019517533872,	
7818.1458513736725,	0.11849097,	0.001101451496608907,	12,	0.11849097,	0.005619650492902586,	
7818.945451498032,	0.1224696,	0.001175538629617028,	12,	0.1224696,	0.005997646069474632,	
7819.745051383972,	0.12647121,	0.001244890532575779,	12,	0.12647121,	0.006351482309060097,	
7820.544651508331,	0.13048296,	0.001288920206986649,	12,	0.13048296,	0.006576123505033923,	
7821.344251394272,	0.13448617,	0.00128519922351596,	12,	0.13448617,	0.006557138895489591,	
7822.143851518631,	0.13848498,	0.001241800029238289,	12,	0.13848498,	0.00633571443488923,	
7822.9434514045715,	0.14248841,	0.001175822316465366,	12,	0.14248841,	0.005999093451353908,	
7823.743051290512,	0.14647999,	0.001103997815581671,	12,	0.14647999,	0.005632641916233015,	
7824.542651414871,	0.15046874,	0.001027221068288273,	12,	0.15046874,	0.005240923817797311,	
7825.342251300812,	0.15444936,	0.0009732243167085881,	12,	0.15444936,	0.004965430187288715,	
7826.141851425171,	0.15843567,	0.0009252337879935481,	12,	0.15843567,	0.00472058055098749,	
7826.941451311111,	0.16243498,	0.0008926921939761364,	12,	0.16243498,	0.004554552010082328,	
7827.741151332855,	0.16643719,	0.0008705273492194533,	12,	0.16643719,	0.00444146606744619,	
7828.540751218796,	0.17043634,	0.0008570347391017898,	12,	0.17043634,	0.00437262621990709,	
7829.340351343155,	0.17442924,	0.0008534246308672527,	12,	0.17442924,	0.004354207300343126,	
7830.140051364899,	0.17843769,	0.000852404364179795,	12,	0.17843769,	0.004349001858060178,	
7830.939651250839,	0.18241684,	0.0008576828706825974,	12,	0.18241684,	0.004375933013686721,	
7831.739251375198,	0.18644294,	0.0008628231967458561,	12,	0.18644294,	0.004402159167070694,	
7832.538851261139,	0.19042277,	0.0008660238754152286,	12,	0.19042277,	0.004418489160281779,	
7833.338451385498,	0.19442303,	0.000856824163143065,	12,	0.19442303,	0.00437155185277074,	
7834.138051271439,	0.19841604,	0.0008420906012290841,	12,	0.19841604,	0.004296380618515735,	
7834.937651157379,	0.20241533,	0.0008176929744517485,	12,	0.20241533,	0.0041719029308762675,	
7835.737251281738,	0.2064181,	0.0007872669936488193,	12,	0.2064181,	0.0040166683349429555,	
7836.536851167679,	0.21041454,	0.0007597389991022743,	12,	0.21041454,	0.0038762193831748683,	
7837.336451292038,	0.21443407,	0.0007375928982164409,	12,	0.21443407,	0.0037632290725328615,	
7838.1360511779785,	0.21842384,	0.0007287774735977512,	12,	0.21842384,	0.003718252416315057,	
7838.935651302338,	0.22240677,	0.0007350026392881114,	12,	0.22240677,	0.00375001346575567,	
7839.735251188278,	0.22642872,	0.0007515630044922978,	12,	0.22642872,	0.003834505124960703,	
7840.534851074219,	0.23041718,	0.0007866225625050034,	12,	0.23041718,	0.004013380420943895,	
7841.334451198578,	0.2344287,	0.000833742105598792,	12,	0.2344287,	0.004253786253055061,	
7842.134051084518,	0.23842604,	0.0008979311317453414,	12,	0.23842604,	0.004581281284415008,	
7842.933651208878,	0.24242416,	0.0009757515433444488,	12,	0.24242416,	0.004978324200736984,	
7843.733351230621,	0.24642424,	0.001069127894297552,	12,	0.24642424,	0.005454734154579347,	
7844.532951116562,	0.25042945,	0.00117512512707582,	12,	0.25042945,	0.005995536362631735,	
7845.332551240921,	0.2544187,	0.001282703579397073,	12,	0.2544187,	0.006544406017332005,	
7846.132251024246,	0.25841713,	0.001392557007004962,	12,	0.25841713,	0.007104882688800826,	
7846.931851148605,	0.26240104,	0.001483993311701716,	12,	0.26240104,	0.0075713944474577344,	
7847.731451034546,	0.26639944,	0.001534318494798105,	12,	0.26639944,	0.007828155585704617,	
7848.531051158905,	0.27040932,	0.001532809863087188,	12,	0.27040932,	0.007820458485138715,	
7849.330651044846,	0.27440313,	0.00146759315095641,	12,	0.27440313,	0.007487720157940867,	
7850.130251169205,	0.27839586,	0.001351633077393662,	12,	0.27839586,	0.0068960871295595,	
7850.929851055145,	0.28239927,	0.001200069899683399,	12,	0.28239927,	0.006122805610629586,	
7851.729450941086,	0.28639531,	0.001034855144575331,	12,	0.28639531,	0.005279873186608832,	
7852.529051065445,	0.29036969,	0.0008773883684345361,	12,	0.29036969,	0.0044764712675231435,	
7853.3286509513855,	0.29436818,	0.0007387074873190926,	12,	0.29436818,	0.0037689157516280236,	
7854.128251075745,	0.29835019,	0.0006190628459659675,	12,	0.29835019,	0.00315848390798963,	
7854.927850961685,	0.30234092,	0.0005240585187921013,	12,	0.30234092,	0.002673767953020925,	
7855.727451086044,	0.30631793,	0.0004450628726303902,	12,	0.30631793,	0.0022707289419917867,	
7856.527050971985,	0.3102892,	0.0003862665687757228,	12,	0.3102892,	0.0019707477998761364,	
7857.326651096344,	0.3142966,	0.0003379096165393877,	12,	0.3142966,	0.0017240286558132024,	
7858.126250982285,	0.31827101,	0.0002987388627874845,	12,	0.31827101,	0.001524177871364717,	
7858.925850868225,	0.32225877,	0.0002652014694702876,	12,	0.32225877,	0.0013530687217871815,	
7859.725450992584,	0.32624042,	0.0002375834785367631,	12,	0.32624042,	0.0012121606047794035,	
7860.525151014328,	0.33022618,	0.0002156794300845781,	12,	0.33022618,	0.0011004052555335616,	
7861.324750900269,	0.33421481,	0.0001942633293286998,	12,	0.33421481,	0.0009911394353505092,	
7862.124351024628,	0.3382161,	0.0001757040733180813,	12,	0.3382161,	0.0008964493536636802,	
7862.924050807953,	0.34220326,	0.0001597734089145704,	12,	0.34220326,	0.0008151704536457674,	
7863.723650932312,	0.34621558,	0.0001441358908148817,	12,	0.34621558,	0.0007353871980351107,	
7864.523250818253,	0.3502124,	0.0001299411341638785,	12,	0.3502124,	0.0006629649702238699,	
7865.322850942612,	0.35421672,	0.0001167384362419509,	12,	0.35421672,	0.0005956042665405658,	
7866.122450828552,	0.35821906,	0.0001051995657626022,	12,	0.35821906,	0.0005367324783806235,	
7866.922050952911,	0.36220926,	9.407343077715062e-05,	12,	0.36220926,	0.0004799664835568909,	
7867.721650838852,	0.36621836,	8.506831285169799e-05,	12,	0.36621836,	0.0004340220043453979,	
7868.521250963211,	0.37021559,	7.661057134877814e-05,	12,	0.37021559,	0.00039087026198356194,	
7869.320850849152,	0.3742176,	6.97799198411341e-05,	12,	0.3742176,	0.0003560199991894597,	
7870.120450735092,	0.3782365,	6.305713568191345e-05,	12,	0.3782365,	0.0003217200800097625,	
7870.920050859451,	0.38221845,	5.849396021226491e-05,	12,	0.38221845,	0.0002984385725115556,	
7871.719650745392,	0.38622332,	5.438820340322227e-05,	12,	0.38622332,	0.00027749083368990956,	
7872.519250869751,	0.39022708,	5.076024921043523e-05,	12,	0.39022708,	0.0002589808633185471,	
7873.3188507556915,	0.39423111,	4.871840931908763e-05,	12,	0.39423111,	0.0002485633128524879,	
7874.118450880051,	0.39822909,	4.670161069684716e-05,	12,	0.39822909,	0.0002382735239635059,	
7874.918050765991,	0.40222815,	4.525606217533609e-05,	12,	0.40222815,	0.00023089827640477596,	
7875.717650651932,	0.40623412,	4.462803026163207e-05,	12,	0.40623412,	0.00022769403194710237,	
7876.5173506736755,	0.4102236,	4.402508516458258e-05,	12,	0.4102236,	0.00022461778145195193,	
7877.316950798035,	0.41424125,	4.424175787195723e-05,	12,	0.41424125,	0.00022572325444876134,	
7878.116550683975,	0.41821381,	4.444696046819962e-05,	12,	0.41821381,	0.0002267702064704062,	
7878.916250705719,	0.42223066,	4.541696898440481e-05,	12,	0.42223066,	0.00023171922951226945,	
7879.715850830078,	0.42624,	4.58834456246763e-05,	12,	0.42624,	0.00023409921237079744,	
7880.515450716019,	0.430231,	4.691954409364563e-05,	12,	0.430231,	0.0002393854290492124,	
7881.315050601959,	0.43423429,	4.789952566617087e-05,	12,	0.43423429,	0.000244385335031484,	
7882.114650726318,	0.43822664,	4.922082180013293e-05,	12,	0.43822664,	0.00025112664183741287,	
7882.914250612259,	0.44221985,	5.025710539007372e-05,	12,	0.44221985,	0.0002564138030105802,	
7883.713850736618,	0.44623089,	5.188682028429851e-05,	12,	0.44623089,	0.00026472867491989037,	
7884.513450622559,	0.45023575,	5.272785449174735e-05,	12,	0.45023575,	0.0002690196657742212,	
7885.313050746918,	0.45423394,	5.415090567766176e-05,	12,	0.45423394,	0.0002762801310084784,	
7886.112650632858,	0.45822269,	5.517978774403692e-05,	12,	0.45822269,	0.0002815295293063108,	
7886.912250518799,	0.46221724,	5.661358921589456e-05,	12,	0.46221724,	0.00028884484293823756,	
7887.711850643158,	0.46620545,	5.764616554114704e-05,	12,	0.46620545,	0.0002941130894956481,	
7888.5114505290985,	0.47019807,	5.902814040561306e-05,	12,	0.47019807,	0.0003011639816612911,	
7889.311050653458,	0.4741987,	5.996903549655385e-05,	12,	0.4741987,	0.0003059644668191523,	
7890.110650539398,	0.47820464,	6.128356500477894e-05,	12,	0.47820464,	0.0003126712500243823,	
