ixdat version = 0.2.1dev
name = 2021-11-11 08_56_25 CO-strip_01_01_CVA_DUSB0_C01.mpt
technique = EC
tstamp = 1636618671.0
backend_name = BackendBase(none, address=none)
id = 4
timecol 'time/s' for: 'Ewe/V' and '<I>/mA' and 'selector'
aliases = {"t": ["time/s"], "raw_potential": ["Ewe/V"], "raw_current": ["<I>/mA"], "cycle": ["cycle number"]}
N_header_lines = 11

time/s,	Ewe/V,	<I>/mA,	selector
12260.214397668839,	0.051092058,	-0.001153856599936262,	0
12260.314397573471,	0.051130261,	-0.001158022030489522,	0
12260.414397716522,	0.051145632,	-0.001154648244613782,	0
12260.514397621155,	0.051134139,	-0.001153418845497075,	0
12260.614397764206,	0.051137872,	-0.00115055845095776,	0
12260.714397668839,	0.051095936,	-0.00114992030290887,	0
12260.814397573471,	0.051099744,	-0.001162603778531779,	0
12260.914397716522,	0.051103547,	-0.001151753767393529,	0
12261.014397621155,	0.051191445,	-0.001152270892169325,	0
12261.114397764206,	0.051134139,	-0.00116040781908669,	0
12261.214397668839,	0.051111158,	-0.001164061119779944,	0
12261.314397573471,	0.051176149,	-0.001135696399258449,	0
12261.414397716522,	0.051130261,	-0.00116651299921796,	0
12261.514397621155,	0.051118843,	-0.001153896281961352,	0
12261.614397764206,	0.051095936,	-0.001148968674940989,	0
12261.714397668839,	0.051153168,	-0.001155580525286496,	0
12261.814397573471,	0.05114175,	-0.001169677524361763,	0
12261.914397716522,	0.051099744,	-0.001152982429601251,	0
12262.014397621155,	0.051099669,	-0.001158499254146591,	0
12262.114397764206,	0.051160853,	-0.001156765697989611,	0
12262.214397668839,	0.05111504,	-0.001152725097024816,	0
12262.314397573471,	0.051130336,	-0.001165243837982419,	0
12262.414397716522,	0.051160853,	-0.001129448941908775,	0
12262.514397621155,	0.051160853,	-0.001161350018344821,	0
12262.614397764206,	0.051134139,	-0.001159109233412892,	0
12262.714397668839,	0.051130261,	-0.001136176790343602,	0
12262.814397573471,	0.051030945,	-0.001152304790448398,	0
12262.914397716522,	0.051179953,	-0.001154321513138715,	0
12263.014397621155,	0.051149435,	-0.001152880199253567,	0
12263.114397764206,	0.051122651,	-0.001147633278975263,	0
12263.214397668839,	0.051153243,	-0.001156855132197961,	0
12263.314397573471,	0.051137947,	-0.001138792828191072,	0
12263.414397716522,	0.05114175,	-0.00114808443025686,	0
12263.514397621155,	0.051157046,	-0.001164153053658083,	0
12263.614397525787,	0.051126529,	-0.001143918693531304,	0
12263.714397668839,	0.051160853,	-0.001152939345454795,	0
12263.814397573471,	0.051092133,	-0.001149566496955231,	0
12263.914397716522,	0.051137947,	-0.001160343934316195,	0
12264.014397621155,	0.051130261,	-0.001141780695645144,	0
12264.114397525787,	0.051149435,	-0.001154793771915138,	0
12264.214397668839,	0.051137947,	-0.001156457205303012,	0
12264.314397573471,	0.051072955,	-0.001146246268646796,	0
12264.414397716522,	0.051130336,	-0.001149604983627796,	0
12264.514397621155,	0.051118769,	-0.001161145721329375,	0
12264.614397525787,	0.051130261,	-0.001140032041817902,	0
12264.714397668839,	0.05114175,	-0.001116346068447457,	0
12264.814397573471,	0.051095936,	-0.001147037023562007,	0
12264.914397716522,	0.051126454,	-0.001162615491775796,	0
12265.014397621155,	0.051084448,	-0.001146971493959428,	0
12265.114397525787,	0.051099744,	-0.001159087680047383,	0
12265.214397668839,	0.051137947,	-0.001138684601057323,	0
12265.314397573471,	0.051084448,	-0.001137660356704146,	0
12265.414397716522,	0.051122651,	-0.001146994090173395,	0
12265.514397621155,	0.051111232,	-0.001132424843031915,	0
12265.614397525787,	0.051115036,	-0.001139268408995123,	0
12265.714397668839,	0.051122651,	-0.001129433619556948,	0
12265.814397573471,	0.051126529,	-0.001115475062397309,	0
12265.914397716522,	0.051134139,	-0.001091394996037706,	0
12266.014397621155,	0.051111232,	-0.001084027001867071,	0
12266.114397525787,	0.051103547,	-0.001075660265865738,	0
12266.214397668839,	0.051137947,	-0.001030873887939383,	0
12266.314397573471,	0.051084448,	-0.001007513784221377,	0
12266.414397716522,	0.051130261,	-0.0009704326972132544,	0
12266.514397621155,	0.051145557,	-0.0009251063839765261,	0
12266.614397525787,	0.051069152,	-0.0008815862383926305,	0
12266.714397668839,	0.051156972,	-0.0008233581273816527,	0
12266.814397573471,	0.051145557,	-0.0007740239349659532,	0
12266.914397716522,	0.051126454,	-0.000695737135829404,	0
12267.014397621155,	0.051149435,	-0.0006124534302507523,	0
12267.114397525787,	0.051153168,	-0.0005531509487773291,	0
12267.214397668839,	0.051160853,	-0.000443648893327918,	0
12267.314397573471,	0.051103547,	-0.000352098335424671,	0
12267.414397478104,	0.051114965,	-0.0002381916395534063,	0
12267.514397621155,	0.051092058,	-0.0001170870219000334,	0
12267.614397525787,	0.051095936,	1.1933634278904e-05,	0
12267.714397668839,	0.051057659,	0.0001516198305706669,	0
12267.814397573471,	0.051084448,	0.0002924027904518877,	0
12267.914397478104,	0.051176149,	0.000458808125986252,	0
12268.014397621155,	0.051118843,	0.000623151340172625,	0
12268.114397525787,	0.051130336,	0.0007764402976026749,	0
12268.214397668839,	0.051126529,	0.0009753827605163681,	0
12268.314397573471,	0.051080566,	0.001168494255747646,	0
12268.414397478104,	0.051122651,	0.001369924108963461,	0
12268.514397621155,	0.051137947,	0.00158140452275984,	0
12268.614397525787,	0.051168539,	0.001810419705929232,	0
12268.714397668839,	0.051156972,	0.002038155656773595,	0
12268.814397573471,	0.051122651,	0.002252383842132984,	0
12268.914397478104,	0.051099665,	0.002504341664258385,	0
12269.014397621155,	0.051149361,	0.00273917616903782,	0
12269.114397525787,	0.051156972,	0.00301614517625421,	0
12269.214397668839,	0.051111232,	0.00327133182110265,	0
12269.314397573471,	0.051092058,	0.003528917995747179,	0
12269.414397478104,	0.05107303,	0.003804898857139052,	0
12269.514397621155,	0.051126454,	0.004080004021059718,	0
12269.614397525787,	0.051149361,	0.004359408493153749,	0
12269.714397668839,	0.051107354,	0.004624233623966575,	0
12269.814397573471,	0.051134139,	0.004906039507128285,	0
12269.914397478104,	0.051134139,	0.005186520569957793,	0
12270.014397621155,	0.051168464,	0.005462541649118059,	0
12270.114397525787,	0.05114175,	0.005737412549555287,	0
12270.214397668839,	0.051095936,	0.006016582908108831,	0
12270.314397573471,	0.051130261,	0.006301769125275317,	0
12270.414397478104,	0.05107303,	0.006560117663815618,	0
12270.514397621155,	0.051126529,	0.006835551930591464,	0
12270.614397525787,	0.051107354,	0.007071795738302161,	0
12270.714397668839,	0.051099744,	0.007335483751259753,	0
12270.814397573471,	0.051130261,	0.007583040296100079,	0
12270.914397478104,	0.051057734,	0.0078004805278033,	0
12271.014397621155,	0.051107354,	0.008041198443621396,	0
12271.114397525787,	0.05108064,	0.008230970365926626,	0
12271.21439743042,	0.051130336,	0.008422544086351971,	0
12271.314397573471,	0.051092058,	0.00861020359210668,	0
12271.414397478104,	0.051095862,	0.008737526506185506,	0
12271.514397621155,	0.05114175,	0.008896257655695072,	0
12271.614397525787,	0.05108064,	0.009010280856862674,	0
12271.71439743042,	0.051069152,	0.0091186253875494,	0
12271.814397573471,	0.051088251,	0.00920898906141518,	0
12271.914397478104,	0.051153243,	0.009285476416349414,	0
12272.014397621155,	0.051099669,	0.009333789777010687,	0
12272.114397525787,	0.051126529,	0.009366642614826552,	0
12272.21439743042,	0.051099744,	0.009376589637249716,	0
12272.314397573471,	0.051069152,	0.00935391867905852,	0
12272.414397478104,	0.051084448,	0.00929489512927828,	0
12272.514397621155,	0.051057659,	0.009181670067831868,	0
12272.614397525787,	0.051114965,	0.009017940143123265,	0
12272.71439743042,	0.051065344,	0.008754636645317032,	0
12272.814397573471,	0.051103547,	0.008423361601307966,	0
12272.914397478104,	0.051027138,	0.00797376033198088,	0
12273.014397621155,	0.051111158,	0.007437623441219315,	0
12273.114397525787,	0.05107303,	0.006805839974433184,	0
12273.21439743042,	0.051076837,	0.006109647792763989,	0
12273.314397573471,	0.051149361,	0.005388311593793332,	0
12273.414397478104,	0.051111158,	0.004635425788350404,	0
12273.514397621155,	0.051126529,	0.003890072786714882,	0
12273.614397525787,	0.051160853,	0.003172368947882203,	0
12273.71439743042,	0.051103547,	0.00249797151889652,	0
12273.814397573471,	0.051134139,	0.001891933121951295,	0
12273.914397478104,	0.051145557,	0.001371589891845361,	0
12274.014397621155,	0.051130336,	0.0009453060455853124,	0
12274.114397525787,	0.051122651,	0.0006185994519619254,	0
12274.21439743042,	0.051053852,	0.0003894442814053028,	0
12274.314397573471,	0.051153243,	0.0002359177702746817,	0
12274.414397478104,	0.051126454,	0.0001377166384045267,	0
12274.514397621155,	0.051061537,	7.61099585588454e-05,	0
12274.614397525787,	0.051126454,	3.48088742357928e-05,	0
12274.71439743042,	0.051057734,	8.483399331680631e-06,	0
12274.814397573471,	0.051061466,	-9.091768897775417e-06,	0
12274.914397478104,	0.051103547,	-2.45016420429707e-05,	0
12275.014397382736,	0.05108064,	-3.472063836714779e-05,	0
12275.114397525787,	0.051103547,	-4.196738809127961e-05,	0
12275.21439743042,	0.051134139,	-4.939254313654829e-05,	0
12275.314397573471,	0.051118843,	-5.470574225694235e-05,	0
12275.414397478104,	0.051187564,	-6.046999398063246e-05,	0
12275.514397382736,	0.051145557,	-6.381645162802855e-05,	0
12275.614397525787,	0.051149435,	-6.809485043413588e-05,	0
12275.71439743042,	0.051122651,	-7.206114737709859e-05,	0
12275.814397573471,	0.051122651,	-7.49187779365459e-05,	0
12275.914397478104,	0.051164657,	-7.797145528093115e-05,	0
12276.014397382736,	0.05111504,	-8.156148131820379e-05,	0
12276.114397525787,	0.051126454,	-8.45325023055921e-05,	0
12276.21439743042,	0.051145557,	-8.627238753615538e-05,	0
12276.314397573471,	0.051103547,	-8.959762714948747e-05,	0
12276.414397478104,	0.051122651,	-9.171469914872449e-05,	0
12276.514397382736,	0.051122651,	-9.474562171089937e-05,	0
12276.614397525787,	0.051084448,	-9.731008281232788e-05,	0
12276.71439743042,	0.051107354,	-9.908994715806326e-05,	0
12276.814397573471,	0.051111158,	-0.0001013197994398071,	0
12276.914397478104,	0.051134065,	-0.0001034264155387065,	0
12277.014397382736,	0.051107354,	-0.000105635890919075,	0
12277.114397525787,	0.051118843,	-0.0001076298757252518,	0
12277.21439743042,	0.051153243,	-0.0001093911286152435,	0
12277.314397573471,	0.051103547,	-0.0001113768689247083,	0
12277.414397478104,	0.051179953,	-0.0001131346064721583,	0
12277.514397382736,	0.051168539,	-0.0001141858137561939,	0
12277.614397525787,	0.051114965,	-0.0001169611108489334,	0
12277.71439743042,	0.051126529,	-0.0001179212857095991,	0
12277.814397573471,	0.051168464,	-0.0001197344268730378,	0
12277.914397478104,	0.051084444,	-0.0001206537738908085,	0
12278.014397382736,	0.051160853,	-0.0001221601670695236,	0
12278.114397525787,	0.05111504,	-0.0001229864108609035,	0
12278.21439743042,	0.051076762,	-0.0001243675055811763,	0
12278.314397573471,	0.051137947,	-0.0001253841408615699,	0
12278.414397478104,	0.051130261,	-0.000126343712763628,	0
12278.514397382736,	0.051149361,	-0.0001282615456584613,	0
12278.614397525787,	0.051111158,	-0.0001289839390228734,	0
12278.71439743042,	0.051164657,	-0.0001304843744437676,	0
12278.814397573471,	0.051176149,	-0.000130866291205166,	0
12278.914397478104,	0.051092058,	-0.00013201662703068,	0
12279.014397382736,	0.051111158,	-0.0001326928594935454,	0
12279.114397525787,	0.051157046,	-0.0001333455879794201,	0
12279.21439743042,	0.051164657,	-0.0001350787487608613,	0
12279.314397335052,	0.051103547,	-0.0001359622347808908,	0
12279.414397478104,	0.051099669,	-0.0001360250480938704,	0
12279.514397382736,	0.05114175,	-0.0001370221557008336,	0
12279.614397525787,	0.051168464,	-0.000137408868264174,	0
12279.71439743042,	0.051134139,	-0.000138223300455138,	0
12279.814397335052,	0.051122651,	-0.0001389144136192044,	0
12279.914397478104,	0.051149435,	-0.0001391885175689823,	0
12280.014397382736,	0.051114965,	-0.0001403500695159898,	0
12280.114397525787,	0.051195249,	-0.0001406828449544264,	0
12280.21439743042,	0.051137947,	-0.0001417052762117243,	0
12280.314397335052,	0.051126454,	-0.0001420041804667562,	0
