ixdat version = 0.2.1dev
name = 2021-11-11 08_56_25 CO-strip_01_01_CVA_DUSB0_C01.mpt
technique = EC
tstamp = 1636618671.0
backend_name = BackendBase(none, address=none)
id = 3
timecol 'time/s' for: 'Ewe/V' and '<I>/mA' and 'selector'
aliases = {"t": ["time/s"], "raw_potential": ["Ewe/V"], "raw_current": ["<I>/mA"], "cycle": ["cycle number"]}
N_header_lines = 11

time/s,	Ewe/V,	<I>/mA,	selector
7253.671658277512,	0.051107354,	-0.001114115392661187,	0
7254.671658277512,	0.051172342,	-0.001113639331923332,	0
7255.671658277512,	0.051134065,	-0.001116306449566038,	0
7256.671658277512,	0.051099669,	-0.001116733083385044,	0
7257.671658277512,	0.051122651,	-0.00111411839730572,	0
7258.671658277512,	0.051172342,	-0.001111407429235987,	0
7259.671658277512,	0.051237259,	-0.001112780081131495,	0
7260.671658277512,	0.051157046,	-0.0011128650639439,	0
7261.671658277512,	0.051153168,	-0.00111500708363019,	0
7262.671658277512,	0.051126454,	-0.001111965252086521,	0
7263.671658277512,	0.051160853,	-0.001114511878043414,	0
7264.671658277512,	0.051164657,	-0.001112853525904939,	0
7265.671658039093,	0.051130261,	-0.001115924909431487,	0
7266.671658039093,	0.051134065,	-0.001111350581236185,	0
7267.671658039093,	0.05114175,	-0.001109891312406399,	0
7268.671658039093,	0.051153243,	-0.001111545792804102,	0
7269.671658039093,	0.051137947,	-0.001106964744091967,	0
7270.671658039093,	0.051172342,	-0.001109256021748301,	0
7271.671658039093,	0.05114175,	-0.001109304120950403,	0
7272.671658039093,	0.051164657,	-0.001109065008955077,	0
7273.671658039093,	0.051153243,	-0.00111231676642783,	0
7274.671658039093,	0.051164731,	-0.001108267003158108,	0
7275.671658039093,	0.05109974,	-0.001109780368907378,	0
7276.671658039093,	0.051134139,	-0.001110824293934275,	0
7277.671658039093,	0.051134065,	-0.001109157457645051,	0
7278.671658039093,	0.051122651,	-0.001111174928047695,	0
7279.671658039093,	0.051157046,	-0.001106613429787103,	0
7280.671658039093,	0.051157046,	-0.001111355746642222,	0
7281.671658039093,	0.051076833,	-0.001107276628795081,	0
7282.671658039093,	0.051145557,	-0.001111692483432129,	0
7283.671658039093,	0.051137947,	-0.001110876670992002,	0
7284.671658039093,	0.051122651,	-0.001106546730268747,	0
7285.671657800674,	0.051118843,	-0.001103859605989421,	0
7286.671657800674,	0.051126454,	-0.001107177805830725,	0
7287.671657800674,	0.051153243,	-0.001107510638050735,	0
7288.671657800674,	0.051145557,	-0.001106836022343487,	0
7289.671657800674,	0.05118376,	-0.001105461243772881,	0
7290.671657800674,	0.051149361,	-0.001107705742120744,	0
7291.671657800674,	0.051092058,	-0.001109307322069073,	0
7292.671657800674,	0.051130261,	-0.001102597320522184,	0
7293.671657800674,	0.051153243,	-0.001106716379499995,	0
7294.671657800674,	0.051122651,	-0.001106617930287032,	0
7295.671657800674,	0.051130336,	-0.001107150694448501,	0
7296.671657800674,	0.051172342,	-0.00110823112888029,	0
7297.671657800674,	0.051088326,	-0.001107833013799974,	0
7298.671657800674,	0.051176149,	-0.001104596562171356,	0
7299.671657800674,	0.051130261,	-0.001106694293825424,	0
7300.671657800674,	0.051206741,	-0.001103095508180559,	0
7301.671657800674,	0.051153243,	-0.001102369725320023,	0
7302.671657800674,	0.05111504,	-0.001106632527546026,	0
7303.671657800674,	0.051130261,	-0.001105272705794778,	0
7304.671657562256,	0.051134065,	-0.001103932031150908,	0
7305.671657562256,	0.051149361,	-0.00110314322266495,	0
7306.671657562256,	0.05114175,	-0.001107983282650822,	0
7307.671657562256,	0.051126454,	-0.001103182694443967,	0
7308.671657562256,	0.05114175,	-0.001101081119687299,	0
7309.671657562256,	0.051160853,	-0.001103077463898809,	0
7310.671657562256,	0.051126454,	-0.001103262683632783,	0
7311.671657562256,	0.051122651,	-0.001103173331799918,	0
7312.671657562256,	0.051134065,	-0.0011024990805774,	0
7313.671657562256,	0.051160853,	-0.001101712028251496,	0
7314.671657562256,	0.051122651,	-0.001103532384557184,	0
7315.671657562256,	0.051092058,	-0.001102196897403339,	0
7316.671657562256,	0.051176149,	-0.001104676750372164,	0
7317.671657562256,	0.051134065,	-0.001102802606113257,	0
7318.671657562256,	0.051176149,	-0.001102835036709441,	0
7319.671657562256,	0.051149435,	-0.001104416467517149,	0
7320.671657562256,	0.051168539,	-0.001102853547467387,	0
7321.671657562256,	0.05118376,	-0.001101922601973638,	0
7322.671657562256,	0.051176075,	-0.001101452927058565,	0
7323.671657562256,	0.051103547,	-0.00110233187878039,	0
7324.671657323837,	0.051164657,	-0.001100870303413832,	0
7325.671657323837,	0.051168464,	-0.001104471538052897,	0
7326.671657323837,	0.051149361,	-0.001103133150050419,	0
7327.671657323837,	0.051164657,	-0.001100171947444324,	0
7328.671657323837,	0.051168464,	-0.001098851589276455,	0
7329.671657323837,	0.051107354,	-0.001102553025458475,	0
7330.671657323837,	0.051092058,	-0.00110281606570352,	0
7331.671657323837,	0.05120286,	-0.001098476387257689,	0
7332.671657323837,	0.051149435,	-0.001099840185628274,	0
7333.671657323837,	0.051126454,	-0.001099167125311218,	0
7334.671657323837,	0.051137872,	-0.001101442163740285,	0
7335.671657323837,	0.051179953,	-0.001098751940054356,	0
7336.671657323837,	0.051111158,	-0.001099336620455145,	0
7337.671657323837,	0.051191445,	-0.001099817119527143,	0
7338.671657323837,	0.051160853,	-0.001101495889178478,	0
7339.671657323837,	0.051214352,	-0.001097555599873887,	0
7340.671657323837,	0.051179953,	-0.001100741414411461,	0
7341.671657323837,	0.051195249,	-0.001099795874615669,	0
7342.671657323837,	0.051149361,	-0.001101281711133198,	0
7343.671657323837,	0.051168464,	-0.001094621876580642,	0
7344.671657085419,	0.051137872,	-0.001100869138992858,	0
7345.671657085419,	0.051172342,	-0.001098616882134229,	0
7346.671657085419,	0.05114175,	-0.001098439077404329,	0
7347.671657085419,	0.051134065,	-0.001098983819037676,	0
7348.671657085419,	0.051160853,	-0.001097915471310262,	0
7349.671657085419,	0.051107354,	-0.00109763859213563,	0
7350.671657085419,	0.051149361,	-0.001095808112598024,	0
7351.671657085419,	0.051149435,	-0.001096723331301477,	0
7352.671657085419,	0.051157046,	-0.001100049852416851,	0
7353.671657085419,	0.05114175,	-0.001095444214250892,	0
7354.671657085419,	0.051160853,	-0.001097303931764327,	0
7355.671657085419,	0.051160853,	-0.001098148515645881,	0
7356.671657085419,	0.051157046,	-0.001097314676782118,	0
7357.671657085419,	0.051168464,	-0.001095274541771506,	0
7358.671657085419,	0.051114965,	-0.001098632303415802,	0
7359.671657085419,	0.051157046,	-0.001098828982713167,	0
7360.671657085419,	0.051126454,	-0.001100922319549138,	0
7361.671657085419,	0.051122651,	-0.001096095463563689,	0
7362.671657085419,	0.051126454,	-0.001095388809766154,	0
7363.671656847,	0.051149361,	-0.001096654845087326,	0
7364.671656847,	0.051134139,	-0.001095027272740846,	0
7365.671656847,	0.051122651,	-0.001096853652456776,	0
7366.671656847,	0.051122651,	-0.001098166457307525,	0
7367.671656847,	0.051107354,	-0.001095431245188232,	0
7368.671656847,	0.05111504,	-0.001099486833438277,	0
7369.671656847,	0.05108064,	-0.001096199768153019,	0
7370.671656847,	0.051164657,	-0.00109340321579948,	0
7371.671656847,	0.051130261,	-0.001094614845793695,	0
7372.671656847,	0.051149361,	-0.001097153289278504,	0
7373.671656847,	0.051172342,	-0.001096820216765628,	0
7374.671656847,	0.051149435,	-0.001096386267303025,	0
7375.671656847,	0.051137947,	-0.001097518743411638,	0
7376.671656847,	0.051122651,	-0.001095854937913828,	0
7377.671656847,	0.05114175,	-0.001097034649667331,	0
7378.671656847,	0.051153243,	-0.001092035677400418,	0
7379.671656847,	0.051160853,	-0.001093521961045917,	0
7380.671656847,	0.051122651,	-0.001097701873467305,	0
7381.671656847,	0.051134065,	-0.001095041430217679,	0
7382.671656847,	0.051103547,	-0.001092829981062096,	0
7383.6716566085815,	0.051168539,	-0.001098635043413379,	0
7384.6716566085815,	0.051134139,	-0.001096619876101613,	0
7385.6716566085815,	0.05111504,	-0.001097213362227194,	0
7386.6716566085815,	0.051137947,	-0.001093181089893915,	0
7387.6716566085815,	0.051157046,	-0.001095615880633706,	0
7388.6716566085815,	0.051130336,	-0.001093277229240631,	0
7389.6716566085815,	0.051088251,	-0.001095889947062824,	0
7390.6716566085815,	0.051126454,	-0.001095573164580857,	0
7391.6716566085815,	0.05114175,	-0.001092078126803973,	0
7392.6716566085815,	0.051122651,	-0.001095834842871412,	0
7393.6716566085815,	0.051164657,	-0.001092087667365561,	0
7394.6716566085815,	0.05114175,	-0.00109430906015914,	0
7395.6716566085815,	0.051149435,	-0.001094722108764108,	0
7396.6716566085815,	0.051095862,	-0.00109320867813658,	0
7397.6716566085815,	0.05114175,	-0.001096784967323766,	0
7398.6716566085815,	0.051176149,	-0.001093116205267145,	0
7399.6716566085815,	0.051164657,	-0.00109215287890984,	0
7400.6716566085815,	0.051107354,	-0.001090571173338685,	0
7401.6716566085815,	0.051145557,	-0.001093565728922841,	0
7402.6716566085815,	0.05111504,	-0.001088739810115659,	0
7403.671656370163,	0.051111232,	-0.001092121614911594,	0
7404.671656370163,	0.051103547,	-0.00109089364297688,	0
7405.671656370163,	0.051126454,	-0.001092960809194484,	0
7406.671656370163,	0.051137947,	-0.001090055983792994,	0
7407.671656370163,	0.051145557,	-0.001089916213857942,	0
7408.671656370163,	0.051145557,	-0.0010921025052201,	0
7409.671656370163,	0.051088251,	-0.001090464928350413,	0
7410.671656370163,	0.051164731,	-0.00109060432626866,	0
7411.671656370163,	0.051134139,	-0.001090983318258076,	0
7412.671656370163,	0.051160853,	-0.001088684149621988,	0
7413.671656370163,	0.051172342,	-0.001089843658916654,	0
7414.671656370163,	0.051206741,	-0.001088665697746911,	0
7415.671656370163,	0.051160853,	-0.001092426701285877,	0
7416.671656370163,	0.051199056,	-0.001090136934665498,	0
7417.671656370163,	0.051122651,	-0.001088429686462042,	0
7418.671656370163,	0.05114175,	-0.001090421945264097,	0
7419.671656370163,	0.051187564,	-0.001092811014829205,	0
7420.671656370163,	0.051149435,	-0.001091342783079017,	0
7421.671656370163,	0.051134139,	-0.001091050469106994,	0
7422.671656131744,	0.051160853,	-0.001088987205456943,	0
7423.671656131744,	0.051164657,	-0.001090698538906872,	0
7424.671656131744,	0.051126529,	-0.001092498076613992,	0
7425.671656131744,	0.051084448,	-0.001090213520103136,	0
7426.671656131744,	0.051149361,	-0.001090110082912724,	0
7427.671656131744,	0.051160853,	-0.001090575810999144,	0
7428.671656131744,	0.051118843,	-0.00108849675821839,	0
7429.671656131744,	0.05114175,	-0.0010855791555834,	0
7430.671656131744,	0.051145557,	-0.001090586402523333,	0
7431.671656131744,	0.051137947,	-0.00108869393875357,	0
7432.671656131744,	0.05118376,	-0.001087255619501234,	0
7433.671656131744,	0.051130261,	-0.001084628940315455,	0
7434.671656131744,	0.051118843,	-0.001089668553904632,	0
7435.671656131744,	0.051160853,	-0.001089281509094872,	0
7436.671656131744,	0.051118843,	-0.001091788759292103,	0
7437.671656131744,	0.051153168,	-0.00108944390397519,	0
7438.671656131744,	0.05118376,	-0.001088844388257713,	0
7439.671656131744,	0.051153168,	-0.001088050449860748,	0
7440.671656131744,	0.051069226,	-0.001089790023618843,	0
7441.671656131744,	0.05118376,	-0.00108637476071017,	0
7442.671655893326,	0.051103547,	-0.001090181336458773,	0
7443.671655893326,	0.051149435,	-0.001088583995169031,	0
7444.671655893326,	0.051122651,	-0.001085855987691321,	0
7445.671655893326,	0.051122651,	-0.001090198059158865,	0
7446.671655893326,	0.051195249,	-0.001083909276151099,	0
7447.671655893326,	0.05114175,	-0.001088329632300884,	0
7448.671655893326,	0.051195249,	-0.001087176337977874,	0
7449.671655893326,	0.05114175,	-0.001087791670835579,	0
7450.671655893326,	0.051160853,	-0.001085830637114123,	0
7451.671655893326,	0.051134139,	-0.001089051214652137,	0
7452.671655893326,	0.051199056,	-0.001087552054657135,	0
7453.671655893326,	0.051126454,	-0.001089921663003044,	0
7454.671655893326,	0.051114965,	-0.001086521086434368,	0
7455.671655893326,	0.051134065,	-0.001087201019003989,	0
7456.671655893326,	0.051153168,	-0.001087589388212656,	0
7457.671655893326,	0.051145557,	-0.001087454247253483,	0
7458.671655893326,	0.051160853,	-0.001087578487407882,	0
7459.671655893326,	0.051172342,	-0.001087001630396117,	0
7460.671655893326,	0.051179953,	-0.00108703404001426,	0
7461.671655893326,	0.051149435,	-0.001091094010614324,	0
7462.671655654907,	0.051149361,	-0.001088491333485583,	0
7463.671655654907,	0.051187638,	-0.001088216200715397,	0
7464.671655654907,	0.05114175,	-0.001084964908158875,	0
7465.671655654907,	0.051168464,	-0.001089978685614189,	0
7466.671655654907,	0.051168539,	-0.001087880923110061,	0
7467.671655654907,	0.051160853,	-0.001088781088846736,	0
7468.671655654907,	0.051160853,	-0.001087392239749898,	0
7469.671655654907,	0.051179953,	-0.001090508064918686,	0
7470.671655654907,	0.051153243,	-0.001088351671048444,	0
7471.671655654907,	0.051202934,	-0.00108608384191757,	0
7472.671655654907,	0.051145557,	-0.001087963034491986,	0
7473.671655654907,	0.051107429,	-0.001089261807664301,	0
7474.671655654907,	0.051153243,	-0.001089327012293508,	0
7475.671655654907,	0.051114965,	-0.001085167366324462,	0
7476.671655654907,	0.051168464,	-0.00108804946506862,	0
7477.671655654907,	0.051160853,	-0.001086456487991381,	0
7478.671655654907,	0.051160853,	-0.0010891988405725,	0
7479.671655654907,	0.051122651,	-0.001088792499760165,	0
7480.671655654907,	0.051164657,	-0.001086627943592612,	0
7481.671655416489,	0.05114175,	-0.001089554136770313,	0
7482.671655416489,	0.051095936,	-0.001083943103067579,	0
7483.671655416489,	0.051130261,	-0.001086735137959477,	0
7484.671655416489,	0.051130261,	-0.001090067742951218,	0
7485.671655416489,	0.051080566,	-0.001086557879857719,	0
7486.671655416489,	0.051172342,	-0.001086932477715892,	0
7487.671655416489,	0.051179953,	-0.001082289311115165,	0
7488.671655416489,	0.051153243,	-0.001085736454685685,	0
7489.671655416489,	0.051145557,	-0.001086325133417269,	0
7490.671655416489,	0.051134139,	-0.001086068029107993,	0
7491.671655416489,	0.051107429,	-0.001085774522647262,	0
7492.671655416489,	0.05118376,	-0.001086212119972334,	0
7493.671655416489,	0.051099669,	-0.001086825129529463,	0
7494.671655416489,	0.05114175,	-0.001084423262486235,	0
7495.671655416489,	0.051149361,	-0.001086785473069177,	0
7496.671655416489,	0.051149361,	-0.00108325177798979,	0
7497.671655416489,	0.051153168,	-0.001084254857734779,	0
7498.671655416489,	0.051191371,	-0.001082820221898147,	0
7499.671655416489,	0.051137947,	-0.001086869047686923,	0
7500.671655416489,	0.05114175,	-0.001084889440669212,	0
7501.67165517807,	0.051157046,	-0.001083394421800041,	0
7502.67165517807,	0.051160853,	-0.001087836933438667,	0
7503.67165517807,	0.05118376,	-0.001083434566576034,	0
7504.67165517807,	0.051191371,	-0.001086000792251436,	0
7505.67165517807,	0.051130336,	-0.001085932723723818,	0
7506.67165517807,	0.051126454,	-0.001086310506926385,	0
7507.67165517807,	0.051103547,	-0.001083124307333492,	0
7508.67165517807,	0.051084444,	-0.00108539740961278,	0
7509.67165517807,	0.05114175,	-0.001083751817711164,	0
7510.67165517807,	0.051099669,	-0.001083017212932464,	0
7511.67165517807,	0.051157046,	-0.001083593346225098,	0
7512.67165517807,	0.05111504,	-0.00108567032358842,	0
7513.67165517807,	0.051095862,	-0.001083585164346736,	0
7514.67165517807,	0.051095936,	-0.00108525673841359,	0
7515.67165517807,	0.051164657,	-0.001083363788004499,	0
7516.67165517807,	0.051153243,	-0.001084854906704281,	0
7517.67165517807,	0.05114175,	-0.00108589950128226,	0
7518.67165517807,	0.051114965,	-0.001086067164654378,	0
7519.67165517807,	0.051137947,	-0.001083072710502894,	0
7520.67165517807,	0.051134065,	-0.001084752816276163,	0
7521.6716549396515,	0.051153243,	-0.001085001158167143,	0
7522.6716549396515,	0.051122651,	-0.0010847607522388,	0
7523.6716549396515,	0.051164657,	-0.001086272155260668,	0
7524.6716549396515,	0.051134065,	-0.001083037957327906,	0
7525.6716549396515,	0.051122651,	-0.001087058109603822,	0
7526.6716549396515,	0.051137947,	-0.0010856499696034,	0
7527.6716549396515,	0.05109974,	-0.001084039991139436,	0
7528.6716549396515,	0.051172342,	-0.001087302616320087,	0
7529.6716549396515,	0.051111158,	-0.001084727136720904,	0
7530.6716549396515,	0.051145557,	-0.001081860724184664,	0
7531.6716549396515,	0.051114965,	-0.001082106373389252,	0
7532.6716549396515,	0.051153243,	-0.001085264373756945,	0
7533.6716549396515,	0.051134065,	-0.001085329352342524,	0
7534.6716549396515,	0.05114175,	-0.001084825794852806,	0
7535.6716549396515,	0.05114175,	-0.001085500567476267,	0
7536.6716549396515,	0.051130261,	-0.001081944584299345,	0
7537.6716549396515,	0.05114175,	-0.001083963185606992,	0
7538.6716549396515,	0.051137947,	-0.001084181527665352,	0
7539.6716549396515,	0.051157046,	-0.001085456655791496,	0
7540.6716549396515,	0.051160853,	-0.001085327962983865,	0
7541.671654701233,	0.051130336,	-0.001082270955387505,	0
7542.671654701233,	0.051160853,	-0.001077581183239818,	0
7543.671654701233,	0.051164657,	-0.001081247132946737,	0
7544.671654701233,	0.051153168,	-0.001081210187415128,	0
7545.671654701233,	0.05114175,	-0.001078214499133173,	0
7546.671654701233,	0.051157046,	-0.001081582233379598,	0
7547.671654701233,	0.05120286,	-0.001082348555838691,	0
7548.671654701233,	0.05114175,	-0.001079699225141669,	0
7549.671654701233,	0.051206667,	-0.001078835304896351,	0
7550.671654701233,	0.051103547,	-0.001081097823835447,	0
7551.671654701233,	0.051149435,	-0.001080006694130135,	0
7552.671654701233,	0.051168539,	-0.001079927548428532,	0
7553.671654701233,	0.051107429,	-0.001080536186217796,	0
7554.671654701233,	0.051149361,	-0.001078642053843944,	0
7555.671654701233,	0.051179953,	-0.001080365262390115,	0
7556.671654701233,	0.05114175,	-0.001081054842763114,	0
7557.671654701233,	0.051172268,	-0.001080882044893224,	0
7558.671654701233,	0.051107354,	-0.001081496608781164,	0
7559.671654701233,	0.051157046,	-0.001080040460056626,	0
7560.671654462814,	0.05114175,	-0.001082135263993405,	0
7561.671654462814,	0.05114175,	-0.001079026760556736,	0
7562.671654462814,	0.051126454,	-0.001079546662827488,	0
7563.671654462814,	0.05118376,	-0.001078433634748216,	0
7564.671654462814,	0.05118376,	-0.001079949282773308,	0
7565.671654462814,	0.051179953,	-0.001079465719324072,	0
7566.671654462814,	0.051157046,	-0.001079683207371273,	0
7567.671654462814,	0.051099744,	-0.001078512186347507,	0
7568.671654462814,	0.051122651,	-0.001083372394740582,	0
7569.671654462814,	0.05114175,	-0.001078738505311776,	0
7570.671654462814,	0.051160853,	-0.001081117197813001,	0
7571.671654462814,	0.051168539,	-0.001081183877785226,	0
7572.671654462814,	0.051164657,	-0.001082901266904082,	0
7573.671654462814,	0.051157046,	-0.001079510070860852,	0
7574.671654462814,	0.051157046,	-0.001081828242412304,	0
7575.671654462814,	0.051153168,	-0.001077580125012903,	0
7576.671654462814,	0.051130336,	-0.001079079112969339,	0
7577.671654462814,	0.051130336,	-0.001079795886238571,	0
7578.671654462814,	0.051176149,	-0.001079938379453961,	0
7579.671654462814,	0.051160853,	-0.001081759431830143,	0
7580.671654224396,	0.051153243,	-0.001076921686704738,	0
7581.671654224396,	0.051099744,	-0.001082243592210583,	0
7582.671654224396,	0.051168464,	-0.001078089186782021,	0
7583.671654224396,	0.051118769,	-0.001080367032333744,	0
7584.671654224396,	0.051164731,	-0.001078104622976389,	0
7585.671654224396,	0.051153243,	-0.001079421263746917,	0
7586.671654224396,	0.051103547,	-0.001080191481742076,	0
7587.671654224396,	0.05114175,	-0.001077986517362298,	0
7588.671654224396,	0.051118769,	-0.001077037420496345,	0
7589.671654224396,	0.051126454,	-0.001083951596112458,	0
7590.671654224396,	0.051153168,	-0.001079413722688334,	0
7591.671654224396,	0.051118843,	-0.001083333232870794,	0
7592.671654224396,	0.051153243,	-0.001080553666152992,	0
7593.671654224396,	0.051114965,	-0.001081377257802525,	0
7594.671654224396,	0.051149361,	-0.00107899436847074,	0
7595.671654224396,	0.051111158,	-0.001077474063867705,	0
7596.671654224396,	0.051134139,	-0.001078025893063751,	0
7597.671654224396,	0.051134065,	-0.001080412373307631,	0
7598.671654224396,	0.05114175,	-0.001077707854937762,	0
7599.671654224396,	0.051199056,	-0.001078332184522879,	0
7600.671653985977,	0.051164657,	-0.001081957249518018,	0
7601.671653985977,	0.05114175,	-0.001082791850005742,	0
7602.671653985977,	0.051191371,	-0.001079736469639467,	0
7603.671653985977,	0.051130336,	-0.001080281416838993,	0
7604.671653985977,	0.051145557,	-0.001075682238105219,	0
7605.671653985977,	0.051134139,	-0.001082122771360447,	0
7606.671653985977,	0.05108064,	-0.001084291608515196,	0
7607.671653985977,	0.051107429,	-0.001082768668432254,	0
7608.671653985977,	0.051084444,	-0.001083166471135337,	0
7609.671653985977,	0.051172342,	-0.001079743401741143,	0
7610.671653985977,	0.051103547,	-0.001077923494309654,	0
7611.671653985977,	0.051160853,	-0.001079921299533455,	0
7612.671653985977,	0.051095862,	-0.001081565707270058,	0
7613.671653985977,	0.051111158,	-0.001078236249007752,	0
7614.671653985977,	0.051172342,	-0.00107920424733311,	0
