ixdat version = 0.2.1dev
name = 2021-11-11 08_56_25 CO-strip_01_01_CVA_DUSB0_C01.mpt
technique = EC
tstamp = 1636618671.0
backend_name = BackendBase(none, address=none)
id = 3
timecol 'time/s' for: 'Ewe/V' and '<I>/mA' and 'selector'
aliases = {"t": ["time/s"], "raw_potential": ["Ewe/V"], "raw_current": ["<I>/mA"], "cycle": ["cycle number"]}
N_header_lines = 11

time/s,	Ewe/V,	<I>/mA,	selector
7150.6716594696045,	0.051130261,	-0.001226059484016152,	0
7151.6716594696045,	0.051114965,	-0.001219609972042963,	0
7152.6716594696045,	0.051103547,	-0.00121201269729063,	0
7153.6716594696045,	0.051218156,	-0.001206008461723106,	0
7154.6716594696045,	0.051164657,	-0.00120279441352468,	0
7155.6716594696045,	0.051225845,	-0.001196973836678081,	0
7156.6716594696045,	0.051134139,	-0.001191806161799468,	0
7157.6716594696045,	0.051134139,	-0.001192790567013435,	0
7158.6716594696045,	0.051137947,	-0.001187898371415214,	0
7159.6716594696045,	0.05111504,	-0.001184609134774655,	0
7160.6716594696045,	0.051160853,	-0.001181231031497011,	0
7161.6716594696045,	0.051118843,	-0.001180821959115567,	0
7162.6716594696045,	0.051103547,	-0.00117442951956764,	0
7163.6716594696045,	0.051149435,	-0.001175217767874713,	0
7164.6716594696045,	0.051111158,	-0.001170124849141576,	0
7165.6716594696045,	0.051157046,	-0.001167599329049701,	0
7166.671659231186,	0.051191445,	-0.001165243842313066,	0
7167.671659231186,	0.051176149,	-0.001163877340173348,	0
7168.671659231186,	0.051149435,	-0.001163191589899363,	0
7169.671659231186,	0.051168539,	-0.001160137776285413,	0
7170.671659231186,	0.051130261,	-0.001163186120335016,	0
7171.671659231186,	0.051206741,	-0.001160388303059156,	0
7172.671659231186,	0.051126529,	-0.001157233913056555,	0
7173.671659231186,	0.051172268,	-0.001154552474734373,	0
7174.671659231186,	0.051179953,	-0.00115599229161162,	0
7175.671659231186,	0.051145632,	-0.001154296447127126,	0
7176.671659231186,	0.051179953,	-0.001154151016334076,	0
7177.671659231186,	0.05118376,	-0.001150414911238478,	0
7178.671659231186,	0.051145557,	-0.001154813524684873,	0
7179.671659231186,	0.051114965,	-0.001152519272896462,	0
7180.671659231186,	0.051126454,	-0.001148767324350774,	0
7181.671659231186,	0.051191371,	-0.001151057445793413,	0
7182.671659231186,	0.051164657,	-0.001150175508996473,	0
7183.671659231186,	0.051160853,	-0.001144646467478014,	0
7184.671659231186,	0.051130261,	-0.001146628609788605,	0
7185.671659231186,	0.051153168,	-0.001147622091905217,	0
7186.671658992767,	0.051153243,	-0.001143576734606178,	0
7187.671658992767,	0.051118843,	-0.001142613739403896,	0
7188.671658992767,	0.051160853,	-0.001143118750420401,	0
7189.671658992767,	0.051168539,	-0.001142341602779928,	0
7190.671658992767,	0.051157046,	-0.001142503475421108,	0
7191.671658992767,	0.051149435,	-0.001141742531070487,	0
7192.671658992767,	0.051095936,	-0.001142678854707632,	0
7193.671658992767,	0.051137947,	-0.001139821871311869,	0
7194.671658992767,	0.051149435,	-0.001139708451204933,	0
7195.671658992767,	0.051149435,	-0.001138373551052063,	0
7196.671658992767,	0.051114965,	-0.001139246270433069,	0
7197.671658992767,	0.051149435,	-0.00113778140502982,	0
7198.671658992767,	0.051145557,	-0.001135890451958405,	0
7199.671658992767,	0.051153243,	-0.001136761780525557,	0
7200.671658992767,	0.051168539,	-0.00113735863189213,	0
7201.671658992767,	0.051103547,	-0.001134712384198792,	0
7202.671658992767,	0.051103547,	-0.001135831543267709,	0
7203.671658992767,	0.051160853,	-0.001132039035973139,	0
7204.671658992767,	0.05114175,	-0.0011326856888365,	0
7205.671658992767,	0.051153168,	-0.001135567345772871,	0
7206.671658754349,	0.05114175,	-0.001133006282942372,	0
7207.671658754349,	0.051160853,	-0.001132291030604393,	0
7208.671658754349,	0.051103547,	-0.00113073680328671,	0
7209.671658754349,	0.051095936,	-0.00113070158576593,	0
7210.671658754349,	0.051164657,	-0.001128856362611987,	0
7211.671658754349,	0.051111232,	-0.001129432419012304,	0
7212.671658754349,	0.051176149,	-0.00112843747169245,	0
7213.671658754349,	0.051107354,	-0.001128733730060049,	0
7214.671658754349,	0.05118376,	-0.001127037603198551,	0
7215.671658754349,	0.051160853,	-0.001130700104078278,	0
7216.671658754349,	0.051107429,	-0.001128674508281984,	0
7217.671658754349,	0.051134065,	-0.001128393456921913,	0
7218.671658754349,	0.051095936,	-0.001127442390238868,	0
7219.671658754349,	0.051157046,	-0.001127239240892232,	0
7220.671658754349,	0.051172342,	-0.001125540710892528,	0
7221.671658754349,	0.051157046,	-0.001123472698882688,	0
7222.671658754349,	0.051137947,	-0.00112354452055879,	0
7223.671658754349,	0.05114175,	-0.001124959179211875,	0
7224.671658754349,	0.051107429,	-0.001124697781400754,	0
7225.67165851593,	0.051157046,	-0.001126498775416986,	0
7226.67165851593,	0.051160853,	-0.001122492040577345,	0
7227.67165851593,	0.051168539,	-0.001123262083204464,	0
7228.67165851593,	0.051160853,	-0.001122301061917099,	0
7229.67165851593,	0.051134139,	-0.001124028144474142,	0
7230.67165851593,	0.051122651,	-0.001124939094274306,	0
7231.67165851593,	0.051114965,	-0.001121023780852557,	0
7232.67165851593,	0.051172342,	-0.001121753226034345,	0
7233.67165851593,	0.051191371,	-0.001118731558253058,	0
7234.67165851593,	0.051149435,	-0.001121962884906682,	0
7235.67165851593,	0.051118769,	-0.001118984154658394,	0
7236.67165851593,	0.051191445,	-0.001118352961842903,	0
7237.67165851593,	0.051137947,	-0.001123196232924239,	0
7238.67165851593,	0.051214352,	-0.001117273715953344,	0
7239.67165851593,	0.051179953,	-0.001119212148617953,	0
7240.67165851593,	0.051130261,	-0.001118474715109917,	0
7241.67165851593,	0.051134139,	-0.001117613673326561,	0
7242.67165851593,	0.051122651,	-0.001117515657795595,	0
7243.67165851593,	0.051153168,	-0.001120447901356965,	0
7244.67165851593,	0.05114175,	-0.001117753082374112,	0
7245.671658277512,	0.051111232,	-0.001118803067551926,	0
7246.671658277512,	0.051134139,	-0.001117994762002491,	0
7247.671658277512,	0.051137947,	-0.001115402452845592,	0
7248.671658277512,	0.051126454,	-0.00111959151881747,	0
7249.671658277512,	0.051134139,	-0.001115959697100335,	0
7250.671658277512,	0.051145557,	-0.001120702838641591,	0
7251.671658277512,	0.051115036,	-0.001116278770659122,	0
7252.671658277512,	0.051076837,	-0.001114892652234994,	0
