name = zilien_data_COstrip_11-11-21.csv AND 2021-11-11 08_56_25 CO-strip_01_01_CVA_DUSB0_C01.mpt
technique = EC-MS
tstamp = 1636617385.0
backend_name = memory
id = 6
timecol 'time/s' for: 'raw potential / [V]' and 'raw current / [mA]' and 'selector' and '$U_{RHE}$ / [V]' and 'J / [mA cm$^{-2}$]'
timecol 'M28-x' for: 'M28'
timecol 'M18-x' for: 'M18'
timecol 'M40-x' for: 'M40'
timecol 'M32-x' for: 'M32'
timecol 'M4-x' for: 'M4'
timecol 'M44-x' for: 'M44'
timecol 'M2-x' for: 'M2'
N_header_lines = 16

time/s,	raw potential / [V],	raw current / [mA],	selector,	$U_{RHE}$ / [V],	J / [mA cm$^{-2}$],	M28-x,	M28,	M18-x,	M18,	M40-x,	M40,	M32-x,	M32,	M4-x,	M4,	M44-x,	M44,	M2-x,	M2
8412.19615983963,	0.11351687,	-0.002040853434990397,	11,	0.11351687,	-0.010412517525461209,	8408.755000114441,	1.149879e-10,	8408.680000066757,	1.395273e-09,	8408.904000043869,	2.375792e-12,	8408.828999996185,	2.389284e-10,	8408.605999946594,	1.941454e-08,	8408.977999925613,	1.064587e-11,	8408.53099989891,	2.577532e-10,	
8412.99575972557,	0.10953727,	-0.001988573045911872,	11,	0.10953727,	-0.010145780846489143,	8409.318000078201,	1.154106e-10,	8409.243000030518,	1.399061e-09,	8409.46700000763,	2.326692e-12,	8409.391999959946,	2.392524e-10,	8409.168999910355,	1.944581e-08,	8409.540999889374,	1.063561e-11,	8409.09400010109,	2.598472e-10,	
8413.795459747314,	0.1055306,	-0.001952978836233306,	11,	0.1055306,	-0.009964177735884214,	8409.880000114441,	1.165205e-10,	8409.805999994278,	1.398091e-09,	8410.029000043869,	2.291494e-12,	8409.954999923706,	2.395396e-10,	8409.730999946594,	1.94322e-08,	8410.104000091553,	1.051933e-11,	8409.65700006485,	2.586931e-10,	
8414.595059871674,	0.10152286,	-0.001901021449903497,	11,	0.10152286,	-0.009699089030119882,	8410.443000078201,	1.160423e-10,	8410.368999958038,	1.403742e-09,	8410.59200000763,	2.210966e-12,	8410.517999887466,	2.391327e-10,	8410.293999910355,	1.948882e-08,	8410.667000055313,	1.055627e-11,	8410.22000002861,	2.600299e-10,	
8415.394659757614,	0.097537398,	-0.001872027969876145,	11,	0.097537398,	-0.009551163111612984,	8411.006000041962,	1.148951e-10,	8410.930999994278,	1.394636e-09,	8411.15499997139,	2.385326e-12,	8411.079999923706,	2.371068e-10,	8410.857000112534,	1.937991e-08,	8411.229000091553,	1.047221e-11,	8410.78200006485,	2.592818e-10,	
8416.194259881973,	0.093549669,	-0.001845274807485313,	11,	0.093549669,	-0.009414667385129147,	8411.569000005722,	1.148134e-10,	8411.494999885559,	1.395172e-09,	8411.71799993515,	2.320653e-12,	8411.644000053406,	2.393435e-10,	8411.420000076294,	1.940206e-08,	8411.792999982834,	1.063697e-11,	8411.345999956131,	2.586811e-10,	
8416.993859767914,	0.089550458,	-0.001839352931313706,	11,	0.089550458,	-0.009384453731192378,	8412.131000041962,	1.144324e-10,	8412.056999921799,	1.39633e-09,	8412.27999997139,	2.306252e-12,	8412.206000089645,	2.389694e-10,	8411.982000112534,	1.939869e-08,	8412.355000019073,	1.039057e-11,	8411.90799999237,	2.600267e-10,	
8417.793459653854,	0.085552648,	-0.001833157135799476,	11,	0.085552648,	-0.009352842529589163,	8412.694000005722,	1.155796e-10,	8412.618999958038,	1.403588e-09,	8412.84299993515,	2.246672e-12,	8412.767999887466,	2.390682e-10,	8412.545000076294,	1.941052e-08,	8412.917000055313,	1.048026e-11,	8412.47000002861,	2.575153e-10,	
8418.593059778214,	0.081563316,	-0.001848752956511189,	11,	0.081563316,	-0.009432413043424433,	8413.257999897003,	1.167011e-10,	8413.183000087738,	1.405644e-09,	8413.40700006485,	2.353538e-12,	8413.332000017166,	2.391881e-10,	8413.108999967575,	1.947397e-08,	8413.480999946594,	1.052042e-11,	8413.033999919891,	2.599784e-10,	
8419.392659664154,	0.077561595,	-0.001883577635640656,	11,	0.077561595,	-0.00961008997775845,	8413.819999933243,	1.156582e-10,	8413.746000051498,	1.400916e-09,	8413.96900010109,	2.245179e-12,	8413.894999980927,	2.394696e-10,	8413.671000003815,	1.940513e-08,	8414.043999910355,	1.039843e-11,	8413.596999883652,	2.597184e-10,	
