name = zilien_data_COstrip_11-11-21.csv AND 2021-11-11 08_56_25 CO-strip_01_01_CVA_DUSB0_C01.mpt
technique = EC-MS
tstamp = 1636617385.0
backend_name = memory
id = 6
timecol 'time/s' for: 'raw potential / [V]' and 'raw current / [mA]' and 'selector' and '$U_{RHE}$ / [V]' and 'J / [mA cm$^{-2}$]'
timecol 'M28-x' for: 'M28'
timecol 'M18-x' for: 'M18'
timecol 'M40-x' for: 'M40'
timecol 'M32-x' for: 'M32'
timecol 'M4-x' for: 'M4'
timecol 'M44-x' for: 'M44'
timecol 'M2-x' for: 'M2'
N_header_lines = 16

time/s,	raw potential / [V],	raw current / [mA],	selector,	$U_{RHE}$ / [V],	J / [mA cm$^{-2}$],	M28-x,	M28,	M18-x,	M18,	M40-x,	M40,	M32-x,	M32,	M4-x,	M4,	M44-x,	M44,	M2-x,	M2
8567.671658039093,	0.051076833,	-0.001107276628795081,	11,	0.051076833,	-0.0056493705550769435,	8498.789000034332,	1.141729e-10,	8498.713999986649,	1.397673e-09,	8498.93799996376,	2.29233e-12,	8498.862999916077,	2.38454e-10,	8498.640000104904,	1.935296e-08,	8499.012000083923,	1.036402e-11,	8498.56500005722,	3.024262e-10,	
8568.671658039093,	0.051145557,	-0.001111692483432129,	11,	0.051145557,	-0.005671900425674128,	8499.351999998093,	1.153422e-10,	8499.276999950409,	1.398942e-09,	8499.50099992752,	2.265108e-12,	8499.426000118256,	2.396627e-10,	8499.203000068665,	1.93985e-08,	8499.575000047684,	1.045641e-11,	8499.12800002098,	3.024201e-10,	
8569.671658039093,	0.051137947,	-0.001110876670992002,	11,	0.051137947,	-0.005667738117306132,	8499.914000034332,	1.163674e-10,	8499.83999991417,	1.39862e-09,	8500.06299996376,	2.288723e-12,	8499.989000082016,	2.380226e-10,	8499.765000104904,	1.939e-08,	8500.138000011444,	1.028001e-11,	8499.690999984741,	3.036601e-10,	
8570.671658039093,	0.051122651,	-0.001106546730268747,	11,	0.051122651,	-0.005645646583003812,	8500.477999925613,	1.158883e-10,	8500.404000043869,	1.39634e-09,	8500.62700009346,	2.241782e-12,	8500.552999973297,	2.384213e-10,	8500.328999996185,	1.933038e-08,	8500.701999902725,	1.049937e-11,	8500.255000114441,	3.023614e-10,	
8571.671657800674,	0.051118843,	-0.001103859605989421,	11,	0.051118843,	-0.005631936765252148,	8501.040999889374,	1.146716e-10,	8500.966000080109,	1.395288e-09,	8501.19000005722,	2.368444e-12,	8501.115000009537,	2.384302e-10,	8500.891999959946,	1.934429e-08,	8501.263999938965,	1.046381e-11,	8500.816999912262,	3.032182e-10,	
8572.671657800674,	0.051126454,	-0.001107177805830725,	11,	0.051126454,	-0.005648866356279209,	8501.601999998093,	1.145874e-10,	8501.528000116348,	1.394572e-09,	8501.75099992752,	2.293599e-12,	8501.677000045776,	2.375038e-10,	8501.453000068665,	1.93706e-08,	8501.825999975204,	1.054043e-11,	8501.378999948502,	3.027354e-10,	
8573.671657800674,	0.051153243,	-0.001107510638050735,	11,	0.051153243,	-0.005650564479850688,	8502.164999961853,	1.158634e-10,	8502.091000080109,	1.396379e-09,	8502.313999891281,	2.172948e-12,	8502.240000009537,	2.401687e-10,	8502.016000032425,	1.936811e-08,	8502.388999938965,	1.046541e-11,	8501.941999912262,	3.018681e-10,	
8574.671657800674,	0.051145557,	-0.001106836022343487,	11,	0.051145557,	-0.005647122562976974,	8502.729000091553,	1.148629e-10,	8502.654000043869,	1.393504e-09,	8502.87800002098,	2.188908e-12,	8502.802999973297,	2.385182e-10,	8502.579999923706,	1.936683e-08,	8502.951999902725,	1.049015e-11,	8502.505000114441,	3.020588e-10,	
8575.671657800674,	0.05118376,	-0.001105461243772881,	11,	0.05118376,	-0.005640108386596332,	8503.290999889374,	1.15405e-10,	8503.216000080109,	1.39785e-09,	8503.44000005722,	2.11922e-12,	8503.365000009537,	2.374777e-10,	8503.141999959946,	1.935527e-08,	8503.513999938965,	1.041229e-11,	8503.066999912262,	3.02987e-10,	
8576.671657800674,	0.051149361,	-0.001107705742120744,	11,	0.051149361,	-0.005651559908779306,	8503.852999925613,	1.141718e-10,	8503.779000043869,	1.396538e-09,	8504.00200009346,	2.303405e-12,	8503.927999973297,	2.365219e-10,	8503.703999996185,	1.936951e-08,	8504.076999902725,	1.038843e-11,	8503.630000114441,	3.032441e-10,	
8577.671657800674,	0.051092058,	-0.001109307322069073,	11,	0.051092058,	-0.00565973123504629,	8504.417000055313,	1.153835e-10,	8504.34200000763,	1.388413e-09,	8504.565999984741,	2.293628e-12,	8504.490999937057,	2.37053e-10,	8504.267999887466,	1.926949e-08,	8504.640000104904,	1.030816e-11,	8504.193000078201,	3.019746e-10,	
8578.671657800674,	0.051130261,	-0.001102597320522184,	11,	0.051130261,	-0.005625496533276449,	8504.980000019073,	1.143983e-10,	8504.90499997139,	1.394354e-09,	8505.128999948502,	2.172579e-12,	8505.053999900818,	2.369151e-10,	8504.831000089645,	1.93435e-08,	8505.203000068665,	1.036303e-11,	8504.756000041962,	3.026282e-10,	
8579.671657800674,	0.051153243,	-0.001106716379499995,	11,	0.051153243,	-0.005646512140306097,	8505.542000055313,	1.151969e-10,	8505.46799993515,	1.390595e-09,	8505.690999984741,	2.107278e-12,	8505.617000102997,	2.376107e-10,	8505.392999887466,	1.931206e-08,	8505.766000032425,	1.028384e-11,	8505.319000005722,	3.017018e-10,	
8580.671657800674,	0.051122651,	-0.001106617930287032,	11,	0.051122651,	-0.005646009848403224,	8506.104000091553,	1.148292e-10,	8506.02999997139,	1.397355e-09,	8506.25300002098,	2.250048e-12,	8506.178999900818,	2.386034e-10,	8505.954999923706,	1.932076e-08,	8506.328000068665,	1.034347e-11,	8505.881000041962,	3.038197e-10,	
8581.671657800674,	0.051130336,	-0.001107150694448501,	11,	0.051130336,	-0.005648728032900515,	8506.667000055313,	1.151081e-10,	8506.59200000763,	1.389401e-09,	8506.815999984741,	2.235398e-12,	8506.740999937057,	2.389228e-10,	8506.517999887466,	1.934766e-08,	8506.890000104904,	1.052943e-11,	8506.443000078201,	3.018048e-10,	
8582.671657800674,	0.051172342,	-0.00110823112888029,	11,	0.051172342,	-0.005654240453470867,	8507.230000019073,	1.156013e-10,	8507.15599989891,	1.394383e-09,	8507.378999948502,	2.205354e-12,	8507.305000066757,	2.365935e-10,	8507.081000089645,	1.93732e-08,	8507.453999996185,	1.061542e-11,	8507.006999969482,	3.02471e-10,	
8583.671657800674,	0.051088326,	-0.001107833013799974,	11,	0.051088326,	-0.005652209254081501,	8507.790999889374,	1.147087e-10,	8507.71700000763,	1.395173e-09,	8507.94000005722,	2.250346e-12,	8507.865999937057,	2.380134e-10,	8507.641999959946,	1.936898e-08,	8508.015000104904,	1.036309e-11,	8507.568000078201,	3.027004e-10,	
8584.671657800674,	0.051176149,	-0.001104596562171356,	11,	0.051176149,	-0.005635696745772223,	8508.355999946594,	1.147202e-10,	8508.28099989891,	1.400374e-09,	8508.505000114441,	2.180533e-12,	8508.430000066757,	2.38105e-10,	8508.207000017166,	1.93643e-08,	8508.578999996185,	1.053495e-11,	8508.131999969482,	3.025311e-10,	
8585.671657800674,	0.051130261,	-0.001106694293825424,	11,	0.051130261,	-0.005646399458292979,	8508.917999982834,	1.159393e-10,	8508.84299993515,	1.393717e-09,	8509.066999912262,	2.385065e-12,	8508.992000102997,	2.382074e-10,	8508.769000053406,	1.937406e-08,	8509.141000032425,	1.04156e-11,	8508.694000005722,	3.025636e-10,	
8586.671657800674,	0.051206741,	-0.001103095508180559,	11,	0.051206741,	-0.0056280383070436675,	8509.480000019073,	1.150244e-10,	8509.40599989891,	1.401434e-09,	8509.628999948502,	2.370028e-12,	8509.555000066757,	2.382759e-10,	8509.331000089645,	1.936797e-08,	8509.703999996185,	1.032849e-11,	8509.256999969482,	3.031533e-10,	
8587.671657800674,	0.051153243,	-0.001102369725320023,	11,	0.051153243,	-0.005624335333265423,	8510.043999910355,	1.151242e-10,	8509.96900010109,	1.395801e-09,	8510.193000078201,	2.260402e-12,	8510.118000030518,	2.374634e-10,	8509.894999980927,	1.934409e-08,	8510.266999959946,	1.042398e-11,	8509.819999933243,	3.035211e-10,	
8588.671657800674,	0.05111504,	-0.001106632527546026,	11,	0.05111504,	-0.0056460843242144175,	8510.605999946594,	1.144505e-10,	8510.53099989891,	1.396466e-09,	8510.755000114441,	2.261065e-12,	8510.680000066757,	2.389791e-10,	8510.457000017166,	1.936815e-08,	8510.828999996185,	1.034105e-11,	8510.381999969482,	3.034481e-10,	
8589.671657800674,	0.051130261,	-0.001105272705794778,	11,	0.051130261,	-0.005639146458136622,	8511.167999982834,	1.145784e-10,	8511.09400010109,	1.398708e-09,	8511.316999912262,	2.258632e-12,	8511.243000030518,	2.383418e-10,	8511.019000053406,	1.936244e-08,	8511.391999959946,	1.054215e-11,	8510.944999933243,	3.022861e-10,	
8590.671657562256,	0.051134065,	-0.001103932031150908,	11,	0.051134065,	-0.005632306281382183,	8511.732000112534,	1.142567e-10,	8511.65799999237,	1.394823e-09,	8511.881000041962,	2.333103e-12,	8511.806999921799,	2.385346e-10,	8511.582999944687,	1.93501e-08,	8511.956000089645,	1.040145e-11,	8511.509000062943,	3.027302e-10,	
8591.671657562256,	0.051149361,	-0.00110314322266495,	11,	0.051149361,	-0.005628281748290561,	8512.295000076294,	1.1511e-10,	8512.22000002861,	1.392713e-09,	8512.444000005722,	2.098097e-12,	8512.368999958038,	2.371051e-10,	8512.145999908447,	1.931974e-08,	8512.517999887466,	1.018261e-11,	8512.071000099182,	3.027954e-10,	
8592.671657562256,	0.05114175,	-0.001107983282650822,	11,	0.05114175,	-0.005652975931891948,	8512.857000112534,	1.14988e-10,	8512.78299999237,	1.396559e-09,	8513.006000041962,	2.188741e-12,	8512.931999921799,	2.377628e-10,	8512.707999944687,	1.934844e-08,	8513.081000089645,	1.026199e-11,	8512.634000062943,	3.010904e-10,	
8593.671657562256,	0.051126454,	-0.001103182694443967,	11,	0.051126454,	-0.005628483134918199,	8513.420000076294,	1.167987e-10,	8513.345999956131,	1.395085e-09,	8513.569000005722,	2.234929e-12,	8513.494999885559,	2.382531e-10,	8513.270999908447,	1.939729e-08,	8513.644000053406,	1.045301e-11,	8513.197000026703,	3.028034e-10,	
8594.671657562256,	0.05114175,	-0.001101081119687299,	11,	0.05114175,	-0.005617760814731117,	8513.982000112534,	1.146099e-10,	8513.90700006485,	1.401013e-09,	8514.131000041962,	2.51996e-12,	8514.055999994278,	2.375399e-10,	8513.832999944687,	1.937264e-08,	8514.204999923706,	1.028855e-11,	8513.757999897003,	3.033609e-10,	
8595.671657562256,	0.051160853,	-0.001103077463898809,	11,	0.051160853,	-0.005627946244381678,	8514.546000003815,	1.140821e-10,	8514.470999956131,	1.393204e-09,	8514.694999933243,	2.274795e-12,	8514.619999885559,	2.364868e-10,	8514.397000074387,	1.935734e-08,	8514.769000053406,	1.034457e-11,	8514.322000026703,	3.022229e-10,	
8596.671657562256,	0.051126454,	-0.001103262683632783,	11,	0.051126454,	-0.005628891243024403,	8515.107000112534,	1.145738e-10,	8515.03299999237,	1.386092e-09,	8515.256000041962,	2.149236e-12,	8515.181999921799,	2.382732e-10,	8514.957999944687,	1.92684e-08,	8515.331000089645,	1.045943e-11,	8514.884000062943,	3.008519e-10,	
8597.671657562256,	0.051122651,	-0.001103173331799918,	11,	0.051122651,	-0.005628435366326113,	8515.670000076294,	1.146186e-10,	8515.59500002861,	1.391827e-09,	8515.819000005722,	2.283102e-12,	8515.743999958038,	2.377329e-10,	8515.520999908447,	1.92961e-08,	8515.892999887466,	1.024082e-11,	8515.446000099182,	3.014424e-10,	
8598.671657562256,	0.051134065,	-0.0011024990805774,	11,	0.051134065,	-0.005624995309068367,	8516.233999967575,	1.156076e-10,	8516.158999919891,	1.39305e-09,	8516.382999897003,	2.23877e-12,	8516.308000087738,	2.377489e-10,	8516.085000038147,	1.934799e-08,	8516.457000017166,	1.04568e-11,	8516.009999990463,	3.024564e-10,	
8599.671657562256,	0.051160853,	-0.001101712028251496,	11,	0.051160853,	-0.00562097973597702,	8516.796000003815,	1.151717e-10,	8516.721999883652,	1.394863e-09,	8516.944999933243,	2.268519e-12,	8516.871000051498,	2.379136e-10,	8516.647000074387,	1.93581e-08,	8517.019999980927,	1.039302e-11,	8516.572999954224,	3.031479e-10,	
8600.671657562256,	0.051122651,	-0.001103532384557184,	11,	0.051122651,	-0.005630267268148898,	8517.358999967575,	1.14645e-10,	8517.28500008583,	1.403571e-09,	8517.507999897003,	2.262144e-12,	8517.434000015259,	2.376053e-10,	8517.210000038147,	1.938504e-08,	8517.582999944687,	1.041045e-11,	8517.135999917984,	3.034909e-10,	
8601.671657562256,	0.051092058,	-0.001102196897403339,	11,	0.051092058,	-0.005623453558180301,	8517.921000003815,	1.154182e-10,	8517.845999956131,	1.398229e-09,	8518.069999933243,	2.230292e-12,	8517.994999885559,	2.383713e-10,	8517.772000074387,	1.941511e-08,	8518.144000053406,	1.018761e-11,	8517.697000026703,	3.018799e-10,	
8602.671657562256,	0.051176149,	-0.001104676750372164,	11,	0.051176149,	-0.005636105869245734,	8518.483999967575,	1.155881e-10,	8518.41000008583,	1.403286e-09,	8518.632999897003,	2.215819e-12,	8518.559000015259,	2.389632e-10,	8518.335000038147,	1.942632e-08,	8518.707999944687,	1.039745e-11,	8518.260999917984,	3.034753e-10,	
8603.671657562256,	0.051134065,	-0.001102802606113257,	11,	0.051134065,	-0.005626543908741107,	8519.046999931335,	1.141372e-10,	8518.973000049591,	1.399856e-09,	8519.196000099182,	2.237378e-12,	8519.12199997902,	2.387468e-10,	8518.898000001907,	1.938e-08,	8519.270999908447,	1.035832e-11,	8518.823999881744,	3.037962e-10,	
8604.671657562256,	0.051176149,	-0.001102835036709441,	11,	0.051176149,	-0.005626709370966535,	8519.609999895096,	1.152921e-10,	8519.53500008583,	1.395354e-09,	8519.759000062943,	2.354881e-12,	8519.684000015259,	2.376513e-10,	8519.460999965668,	1.937234e-08,	8519.832999944687,	1.049498e-11,	8519.385999917984,	3.022256e-10,	
8605.671657562256,	0.051149435,	-0.001104416467517149,	11,	0.051149435,	-0.005634777895495657,	8520.173000097275,	1.136821e-10,	8520.098000049591,	1.395428e-09,	8520.322000026703,	2.254086e-12,	8520.24699997902,	2.384357e-10,	8520.023999929428,	1.932047e-08,	8520.395999908447,	1.045162e-11,	8519.948999881744,	3.014741e-10,	
8606.671657562256,	0.051168539,	-0.001102853547467387,	11,	0.051168539,	-0.005626803813609117,	8520.734999895096,	1.15695e-10,	8520.661000013351,	1.393997e-09,	8520.884000062943,	2.277384e-12,	8520.80999994278,	2.386586e-10,	8520.585999965668,	1.93699e-08,	8520.959000110626,	1.044028e-11,	8520.512000083923,	3.025018e-10,	
8607.671657562256,	0.05118376,	-0.001101922601973638,	11,	0.05118376,	-0.005622054091702235,	8521.298000097275,	1.144626e-10,	8521.223000049591,	1.398999e-09,	8521.447000026703,	2.331974e-12,	8521.37199997902,	2.386419e-10,	8521.148999929428,	1.939172e-08,	8521.520999908447,	1.034874e-11,	8521.073999881744,	3.030345e-10,	
8608.671657562256,	0.051176075,	-0.001101452927058565,	11,	0.051176075,	-0.0056196577911151275,	8521.861000061035,	1.157349e-10,	8521.786000013351,	1.395706e-09,	8522.009999990463,	2.363431e-12,	8521.93499994278,	2.38569e-10,	8521.711999893188,	1.937757e-08,	8522.084000110626,	1.028359e-11,	8521.637000083923,	3.029247e-10,	
8609.671657562256,	0.051103547,	-0.00110233187878039,	11,	0.051103547,	-0.005624142238675459,	8522.423000097275,	1.143072e-10,	8522.348999977112,	1.392774e-09,	8522.572000026703,	2.252426e-12,	8522.49799990654,	2.381744e-10,	8522.273999929428,	1.934849e-08,	8522.647000074387,	1.034676e-11,	8522.200000047684,	3.015772e-10,	
8610.671657323837,	0.051164657,	-0.001100870303413832,	11,	0.051164657,	-0.0056166852214991425,	8522.986000061035,	1.155593e-10,	8522.911999940872,	1.402826e-09,	8523.134999990463,	2.236673e-12,	8523.061000108719,	2.383626e-10,	8522.836999893188,	1.941395e-08,	8523.210000038147,	1.04356e-11,	8522.763000011444,	3.035482e-10,	
8611.671657323837,	0.051168464,	-0.001104471538052897,	11,	0.051168464,	-0.005635058867616821,	8523.548000097275,	1.143665e-10,	8523.473000049591,	1.398586e-09,	8523.697000026703,	2.262676e-12,	8523.62199997902,	2.380298e-10,	8523.398999929428,	1.935314e-08,	8523.770999908447,	1.045369e-11,	8523.323999881744,	3.026824e-10,	
8612.671657323837,	0.051149361,	-0.001103133150050419,	11,	0.051149361,	-0.005628230357400097,	8524.111000061035,	1.152779e-10,	8524.036999940872,	1.397815e-09,	8524.259999990463,	2.308329e-12,	8524.186000108719,	2.377629e-10,	8523.961999893188,	1.933954e-08,	8524.335000038147,	1.02972e-11,	8523.888000011444,	3.034039e-10,	
8613.671657323837,	0.051164657,	-0.001100171947444324,	11,	0.051164657,	-0.005613122180838388,	8524.674000024796,	1.149259e-10,	8524.599999904633,	1.397695e-09,	8524.822999954224,	2.357981e-12,	8524.74900007248,	2.377225e-10,	8524.525000095367,	1.936412e-08,	8524.898000001907,	1.02385e-11,	8524.450999975204,	3.037584e-10,	
8614.671657323837,	0.051168464,	-0.001098851589276455,	11,	0.051168464,	-0.00560638565957375,	8525.236000061035,	1.158636e-10,	8525.161000013351,	1.397859e-09,	8525.384999990463,	2.146107e-12,	8525.30999994278,	2.378167e-10,	8525.086999893188,	1.934734e-08,	8525.459000110626,	1.055447e-11,	8525.012000083923,	3.020825e-10,	
8615.671657323837,	0.051107354,	-0.001102553025458475,	11,	0.051107354,	-0.005625270538053444,	8525.799999952316,	1.16685e-10,	8525.724999904633,	1.403883e-09,	8525.948999881744,	2.333209e-12,	8525.87400007248,	2.38992e-10,	8525.651000022888,	1.94538e-08,	8526.023000001907,	1.038923e-11,	8525.575999975204,	3.035577e-10,	
8616.671657323837,	0.051092058,	-0.00110281606570352,	11,	0.051092058,	-0.00562661258012,	8526.361999988556,	1.147942e-10,	8526.288000106812,	1.388972e-09,	8526.510999917984,	2.211744e-12,	8526.43700003624,	2.374199e-10,	8526.213000059128,	1.937943e-08,	8526.585999965668,	1.049313e-11,	8526.138999938965,	3.037818e-10,	
8617.671657323837,	0.05120286,	-0.001098476387257689,	11,	0.05120286,	-0.005604471363559637,	8526.924999952316,	1.153235e-10,	8526.849999904633,	1.394839e-09,	8527.073999881744,	2.300536e-12,	8526.99900007248,	2.378015e-10,	8526.776000022888,	1.938251e-08,	8527.148000001907,	1.027823e-11,	8526.700999975204,	3.039739e-10,	
8618.671657323837,	0.051149435,	-0.001099840185628274,	11,	0.051149435,	-0.005611429518511602,	8527.487999916077,	1.160053e-10,	8527.413000106812,	1.395762e-09,	8527.637000083923,	2.262953e-12,	8527.56200003624,	2.386144e-10,	8527.338999986649,	1.936851e-08,	8527.710999965668,	1.046842e-11,	8527.263999938965,	3.029107e-10,	
8619.671657323837,	0.051126454,	-0.001099167125311218,	11,	0.051126454,	-0.005607995537302133,	8528.049999952316,	1.16081e-10,	8527.976000070572,	1.397357e-09,	8528.198999881744,	2.280124e-12,	8528.125,	2.376069e-10,	8527.901000022888,	1.937493e-08,	8528.273999929428,	1.039252e-11,	8527.826999902725,	3.027736e-10,	
8620.671657323837,	0.051137872,	-0.001101442163740285,	11,	0.051137872,	-0.005619602876225944,	8528.612999916077,	1.150432e-10,	8528.539000034332,	1.39967e-09,	8528.762000083923,	2.335211e-12,	8528.68799996376,	2.378299e-10,	8528.463999986649,	1.934351e-08,	8528.836999893188,	1.057774e-11,	8528.390000104904,	3.031168e-10,	
8621.671657323837,	0.051179953,	-0.001098751940054356,	11,	0.051179953,	-0.005605877245175286,	8529.176000118256,	1.157887e-10,	8529.101000070572,	1.395648e-09,	8529.325000047684,	2.217952e-12,	8529.25,	2.387315e-10,	8529.026999950409,	1.934363e-08,	8529.398999929428,	1.037825e-11,	8528.951999902725,	3.023817e-10,	
8622.671657323837,	0.051111158,	-0.001099336620455145,	11,	0.051111158,	-0.005608860308444617,	8529.737999916077,	1.154513e-10,	8529.664000034332,	1.39725e-09,	8529.887000083923,	2.290503e-12,	8529.81299996376,	2.38176e-10,	8529.588999986649,	1.928611e-08,	8529.961999893188,	1.041298e-11,	8529.515000104904,	3.028299e-10,	
8623.671657323837,	0.051191445,	-0.001099817119527143,	11,	0.051191445,	-0.005611311834322158,	8530.301000118256,	1.149993e-10,	8530.226999998093,	1.392397e-09,	8530.450000047684,	2.202481e-12,	8530.37599992752,	2.3946e-10,	8530.151999950409,	1.935567e-08,	8530.525000095367,	1.03005e-11,	8530.078000068665,	3.027523e-10,	
8624.671657323837,	0.051160853,	-0.001101495889178478,	11,	0.051160853,	-0.00561987698560448,	8530.864000082016,	1.155067e-10,	8530.789000034332,	1.396474e-09,	8531.013000011444,	2.193695e-12,	8530.93799996376,	2.406698e-10,	8530.71499991417,	1.93701e-08,	8531.086999893188,	1.049996e-11,	8530.640000104904,	3.03368e-10,	
8625.671657323837,	0.051214352,	-0.001097555599873887,	11,	0.051214352,	-0.005599773468744321,	8531.426000118256,	1.147634e-10,	8531.351000070572,	1.398593e-09,	8531.575000047684,	2.267406e-12,	8531.5,	2.392304e-10,	8531.276999950409,	1.94252e-08,	8531.648999929428,	1.032675e-11,	8531.201999902725,	3.033194e-10,	
8626.671657323837,	0.051179953,	-0.001100741414411461,	11,	0.051179953,	-0.00561602762454827,	8531.987999916077,	1.152955e-10,	8531.914000034332,	1.394074e-09,	8532.137000083923,	2.222658e-12,	8532.06299996376,	2.382997e-10,	8531.838999986649,	1.936494e-08,	8532.211999893188,	1.040867e-11,	8531.765000104904,	3.020242e-10,	
8627.671657323837,	0.051195249,	-0.001099795874615669,	11,	0.051195249,	-0.005611203441916678,	8532.552000045776,	1.146391e-10,	8532.476999998093,	1.397096e-09,	8532.700999975204,	2.167792e-12,	8532.62599992752,	2.373068e-10,	8532.403000116348,	1.937602e-08,	8532.775000095367,	1.040708e-11,	8532.328000068665,	3.029161e-10,	
8628.671657323837,	0.051149361,	-0.001101281711133198,	11,	0.051149361,	-0.0056187842404755006,	8533.115000009537,	1.143207e-10,	8533.039999961853,	1.39624e-09,	8533.263999938965,	2.264775e-12,	8533.188999891281,	2.382942e-10,	8532.966000080109,	1.943271e-08,	8533.338000059128,	1.042909e-11,	8532.891000032425,	3.044887e-10,	
8629.671657323837,	0.051168464,	-0.001094621876580642,	11,	0.051168464,	-0.0055848054927583775,	8533.677000045776,	1.149202e-10,	8533.602999925613,	1.395462e-09,	8533.825999975204,	2.245816e-12,	8533.75200009346,	2.382815e-10,	8533.528000116348,	1.939073e-08,	8533.901000022888,	1.035469e-11,	8533.453999996185,	3.036245e-10,	
8630.671657085419,	0.051137872,	-0.001100869138992858,	11,	0.051137872,	-0.005616679280575806,	8534.240000009537,	1.145666e-10,	8534.165999889374,	1.393823e-09,	8534.388999938965,	2.333921e-12,	8534.31500005722,	2.378519e-10,	8534.091000080109,	1.936409e-08,	8534.463999986649,	1.064024e-11,	8534.016999959946,	3.035103e-10,	
8631.671657085419,	0.051172342,	-0.001098616882134229,	11,	0.051172342,	-0.005605188174154229,	8534.803999900818,	1.15592e-10,	8534.729000091553,	1.393932e-09,	8534.953000068665,	2.256356e-12,	8534.87800002098,	2.388099e-10,	8534.65499997139,	1.936258e-08,	8535.026999950409,	1.042755e-11,	8534.579999923706,	3.031911e-10,	
8632.671657085419,	0.05114175,	-0.001098439077404329,	11,	0.05114175,	-0.005604281007164943,	8535.365999937057,	1.148388e-10,	8535.292000055313,	1.39362e-09,	8535.515000104904,	2.281966e-12,	8535.440999984741,	2.370127e-10,	8535.21700000763,	1.933042e-08,	8535.58999991417,	1.056902e-11,	8535.142999887466,	3.035061e-10,	
8633.671657085419,	0.051134065,	-0.001098983819037676,	11,	0.051134065,	-0.005607060301212633,	8535.927999973297,	1.146349e-10,	8535.854000091553,	1.392565e-09,	8536.076999902725,	2.287139e-12,	8536.00300002098,	2.368734e-10,	8535.779000043869,	1.932469e-08,	8536.151999950409,	1.034702e-11,	8535.704999923706,	3.017104e-10,	
8634.671657085419,	0.051160853,	-0.001097915471310262,	11,	0.051160853,	-0.005601609547501336,	8536.490999937057,	1.163806e-10,	8536.415999889374,	1.391591e-09,	8536.640000104904,	2.205571e-12,	8536.56500005722,	2.371764e-10,	8536.34200000763,	1.933961e-08,	8536.713999986649,	1.041596e-11,	8536.266999959946,	3.030781e-10,	
8635.671657085419,	0.051107354,	-0.00109763859213563,	11,	0.051107354,	-0.0056001968986511734,	8537.053999900818,	1.149313e-10,	8536.979000091553,	1.393462e-09,	8537.203000068665,	2.381089e-12,	8537.12800002098,	2.375369e-10,	8536.90499997139,	1.933653e-08,	8537.276999950409,	1.043775e-11,	8536.829999923706,	3.017821e-10,	
8636.671657085419,	0.051149361,	-0.001095808112598024,	11,	0.051149361,	-0.005590857717336857,	8537.617000102997,	1.140479e-10,	8537.542999982834,	1.396935e-09,	8537.766000032425,	2.150459e-12,	8537.691999912262,	2.379785e-10,	8537.46799993515,	1.938021e-08,	8537.841000080109,	1.027963e-11,	8537.394000053406,	3.029e-10,	
8637.671657085419,	0.051149435,	-0.001096723331301477,	11,	0.051149435,	-0.00559552720051774,	8538.178999900818,	1.150903e-10,	8538.104000091553,	1.398983e-09,	8538.328000068665,	2.299832e-12,	8538.25300002098,	2.377327e-10,	8538.02999997139,	1.936086e-08,	8538.401999950409,	1.060915e-11,	8537.954999923706,	3.03952e-10,	
8638.671657085419,	0.051157046,	-0.001100049852416851,	11,	0.051157046,	-0.00561249924702475,	8538.740999937057,	1.152454e-10,	8538.665999889374,	1.393613e-09,	8538.890000104904,	2.248655e-12,	8538.81500005722,	2.37749e-10,	8538.59200000763,	1.939019e-08,	8538.963999986649,	1.03132e-11,	8538.516999959946,	3.024101e-10,	
8639.671657085419,	0.05114175,	-0.001095444214250892,	11,	0.05114175,	-0.005589001093116796,	8539.302999973297,	1.140556e-10,	8539.229000091553,	1.387973e-09,	8539.451999902725,	2.277715e-12,	8539.37800002098,	2.373444e-10,	8539.154000043869,	1.931897e-08,	8539.526999950409,	1.052644e-11,	8539.079999923706,	3.02967e-10,	
8640.671657085419,	0.051160853,	-0.001097303931764327,	11,	0.051160853,	-0.005598489447777178,	8539.867000102997,	1.157663e-10,	8539.792999982834,	1.394501e-09,	8540.016000032425,	2.147663e-12,	8539.941999912262,	2.397023e-10,	8539.71799993515,	1.933331e-08,	8540.091000080109,	1.034744e-11,	8539.644000053406,	3.042158e-10,	
8641.671657085419,	0.051160853,	-0.001098148515645881,	11,	0.051160853,	-0.005602798549213678,	8540.430000066757,	1.14779e-10,	8540.355000019073,	1.400038e-09,	8540.578999996185,	2.246889e-12,	8540.503999948502,	2.380157e-10,	8540.28099989891,	1.935272e-08,	8540.653000116348,	1.048208e-11,	8540.206000089645,	3.035143e-10,	
8642.671657085419,	0.051157046,	-0.001097314676782118,	11,	0.051157046,	-0.00559854426929652,	8540.992000102997,	1.140859e-10,	8540.917999982834,	1.390124e-09,	8541.141000032425,	2.193683e-12,	8541.066999912262,	2.37097e-10,	8540.84299993515,	1.92944e-08,	8541.216000080109,	1.02819e-11,	8540.769000053406,	3.010893e-10,	
8643.671657085419,	0.051168464,	-0.001095274541771506,	11,	0.051168464,	-0.005588135417201561,	8541.555999994278,	1.151009e-10,	8541.482000112534,	1.386706e-09,	8541.704999923706,	2.254023e-12,	8541.631000041962,	2.373509e-10,	8541.40700006485,	1.930313e-08,	8541.77999997139,	1.038873e-11,	8541.332999944687,	3.001553e-10,	
