ixdat version = 0.2.1dev
name = 2021-11-11 08_56_25 CO-strip.tsv
technique = MS
tstamp = 1636617385.0
backend_name = BackendBase(none, address=none)
id = 2
timecol 'M2-x' for: 'M2'
timecol 'M32-x' for: 'M32'
timecol 'M40-x' for: 'M40'
timecol 'time/s' for: 'Ewe/V' and 'cycle number' and 'I/mA'
timecol 'M44-x' for: 'M44'
timecol 'M4-x' for: 'M4'
timecol 'M18-x' for: 'M18'
timecol 'M28-x' for: 'M28'
aliases = {"t": ["time/s"], "raw_potential": ["Ewe/V", "<Ewe>/V"], "raw_current": ["I/mA", "<I>/mA"], "cycle": ["cycle number"]}
N_header_lines = 18

M2-x,	M2,	M32-x,	M32,	M40-x,	M40,	time/s,	Ewe/V,	cycle number,	M44-x,	M44,	M4-x,	M4,	M18-x,	M18,	M28-x,	M28,	I/mA
14322.099999904633,	2.536803e-10,	14321.83999991417,	2.25317e-10,	14321.91000008583,	2.094174e-12,	13744.269999980927,	0.05109974,	18.0,	14321.990000009537,	3.416922e-11,	14321.609999895096,	1.834602e-08,	14321.69000005722,	1.322206e-09,	14321.759999990463,	1.095829e-10,	-0.0001473895
14322.66000008583,	2.534765e-10,	14322.400000095367,	2.252606e-10,	14322.47000002861,	2.122985e-12,	13744.430000066757,	0.05115317,	18.0,	14322.549999952316,	3.446111e-11,	14322.180000066757,	1.828828e-08,	14322.25,	1.317314e-09,	14322.329999923706,	1.094289e-10,	-0.0001322806
14323.230000019073,	2.539826e-10,	14322.960000038147,	2.267645e-10,	14323.039999961853,	2.137481e-12,	13744.599999904633,	0.05113414,	18.0,	14323.109999895096,	3.427394e-11,	14322.740000009537,	1.829695e-08,	14322.80999994278,	1.316255e-09,	14322.890000104904,	1.100535e-10,	-0.0001255274
14323.789999961853,	2.529755e-10,	14323.52999997139,	2.254052e-10,	14323.599999904633,	2.17779e-12,	13744.819999933243,	0.05114556,	18.0,	14323.670000076294,	3.457312e-11,	14323.299999952316,	1.833214e-08,	14323.380000114441,	1.320992e-09,	14323.450000047684,	1.100164e-10,	-0.0001354092
14324.349999904633,	2.530837e-10,	14324.08999991417,	2.25038e-10,	14324.16000008583,	2.124619e-12,	13744.980000019073,	0.05111884,	18.0,	14324.240000009537,	3.525804e-11,	14323.859999895096,	1.830697e-08,	14323.94000005722,	1.322362e-09,	14324.009999990463,	1.102868e-10,	-0.0001083965
14324.920000076294,	2.539115e-10,	14324.650000095367,	2.263693e-10,	14324.72000002861,	2.110087e-12,	13745.130000114441,	0.05111504,	18.0,	14324.799999952316,	3.572636e-11,	14324.430000066757,	1.829967e-08,	14324.5,	1.317762e-09,	14324.579999923706,	1.101789e-10,	-0.0001104567
14325.480000019073,	2.541085e-10,	14325.210000038147,	2.267607e-10,	14325.289999961853,	2.181435e-12,	13745.30999994278,	0.05113795,	18.0,	14325.359999895096,	3.580114e-11,	14324.990000009537,	1.825984e-08,	14325.05999994278,	1.324388e-09,	14325.140000104904,	1.105009e-10,	-0.0001568134
14326.039999961853,	2.532586e-10,	14325.77999997139,	2.269689e-10,	14325.849999904633,	2.068021e-12,	13745.460000038147,	0.05112265,	18.0,	14325.920000076294,	3.626694e-11,	14325.549999952316,	1.832589e-08,	14325.630000114441,	1.322901e-09,	14325.700000047684,	1.106618e-10,	-0.0001171336
14326.599999904633,	2.546673e-10,	14326.33999991417,	2.256594e-10,	14326.41000008583,	2.173527e-12,	13745.630000114441,	0.05108833,	18.0,	14326.490000009537,	3.63606e-11,	14326.119999885559,	1.829454e-08,	14326.19000005722,	1.321308e-09,	14326.259999990463,	1.103772e-10,	-0.000131136
14327.170000076294,	2.536878e-10,	14326.900000095367,	2.26661e-10,	14326.97000002861,	2.241972e-12,	13745.759999990463,	0.05106915,	18.0,	14327.049999952316,	3.600636e-11,	14326.680000066757,	1.833802e-08,	14326.75,	1.323584e-09,	14326.829999923706,	1.100835e-10,	-0.000154715
14327.730000019073,	2.543304e-10,	14327.460000038147,	2.271833e-10,	14327.539999961853,	2.326961e-12,	13745.930000066757,	0.05115324,	18.0,	14327.609999895096,	3.658746e-11,	14327.240000009537,	1.834882e-08,	14327.319999933243,	1.328812e-09,	14327.390000104904,	1.100863e-10,	-0.0001534177
14328.289999961853,	2.543588e-10,	14328.02999997139,	2.269445e-10,	14328.099999904633,	2.141599e-12,	13746.140000104904,	0.05114175,	18.0,	14328.180000066757,	3.692398e-11,	14327.799999952316,	1.831747e-08,	14327.880000114441,	1.323315e-09,	14327.950000047684,	1.112055e-10,	-0.00010481
14328.849999904633,	2.550697e-10,	14328.58999991417,	2.2823e-10,	14328.66000008583,	2.038171e-12,	13746.319999933243,	0.05115317,	18.0,	14328.740000009537,	3.703641e-11,	14328.369999885559,	1.837991e-08,	14328.44000005722,	1.325431e-09,	14328.519999980927,	1.106141e-10,	-0.0001422006
14329.420000076294,	2.530384e-10,	14329.150000095367,	2.276122e-10,	14329.230000019073,	2.055313e-12,	13746.490000009537,	0.05109974,	18.0,	14329.299999952316,	3.715075e-11,	14328.930000066757,	1.829399e-08,	14329.0,	1.322358e-09,	14329.079999923706,	1.12464e-10,	-0.0001413993
14329.980000019073,	2.534428e-10,	14329.710000038147,	2.260457e-10,	14329.789999961853,	2.110179e-12,	13746.650000095367,	0.05108064,	18.0,	14329.859999895096,	3.718383e-11,	14329.490000009537,	1.831839e-08,	14329.569999933243,	1.321632e-09,	14329.640000104904,	1.114941e-10,	-0.0001598657
14330.539999961853,	2.532234e-10,	14330.27999997139,	2.259982e-10,	14330.349999904633,	1.927759e-12,	13746.80999994278,	0.05109974,	18.0,	14330.420000076294,	3.723958e-11,	14330.049999952316,	1.826697e-08,	14330.130000114441,	1.317917e-09,	14330.200000047684,	1.098463e-10,	-0.0001040851
14331.099999904633,	2.541242e-10,	14330.83999991417,	2.265836e-10,	14330.91000008583,	2.19132e-12,	13746.980000019073,	0.05111884,	18.0,	14330.990000009537,	3.726643e-11,	14330.619999885559,	1.824335e-08,	14330.69000005722,	1.316984e-09,	14330.769999980927,	1.10842e-10,	-0.0001206438
14331.670000076294,	2.52742e-10,	14331.400000095367,	2.257499e-10,	14331.480000019073,	2.224187e-12,	13747.140000104904,	0.05112265,	18.0,	14331.549999952316,	3.706511e-11,	14331.180000066757,	1.832733e-08,	14331.25,	1.318833e-09,	14331.329999923706,	1.112751e-10,	-0.0001090832
14332.230000019073,	2.520635e-10,	14331.960000038147,	2.250422e-10,	14332.039999961853,	2.119406e-12,	13747.289999961853,	0.05112645,	18.0,	14332.109999895096,	3.734379e-11,	14331.740000009537,	1.82692e-08,	14331.819999933243,	1.320106e-09,	14331.890000104904,	1.10624e-10,	-0.0001200333
14332.789999961853,	2.509669e-10,	14332.52999997139,	2.257613e-10,	14332.599999904633,	2.003764e-12,	13747.450000047684,	0.05114556,	18.0,	14332.680000066757,	3.724428e-11,	14332.299999952316,	1.821157e-08,	14332.380000114441,	1.320185e-09,	14332.450000047684,	1.103672e-10,	-0.0001133564
14333.359999895096,	2.541012e-10,	14333.08999991417,	2.266798e-10,	14333.170000076294,	2.314006e-12,	13747.609999895096,	0.05111504,	18.0,	14333.240000009537,	3.743551e-11,	14332.869999885559,	1.823175e-08,	14332.94000005722,	1.316445e-09,	14333.019999980927,	1.109304e-10,	-9.561497e-05
14333.920000076294,	2.551727e-10,	14333.650000095367,	2.258024e-10,	14333.730000019073,	2.121969e-12,	13747.759999990463,	0.05114556,	18.0,	14333.799999952316,	3.708095e-11,	14333.430000066757,	1.830229e-08,	14333.5,	1.324098e-09,	14333.579999923706,	1.112631e-10,	-0.00012816
14334.480000019073,	2.541991e-10,	14334.22000002861,	2.260241e-10,	14334.289999961853,	2.269938e-12,	13747.920000076294,	0.05114563,	18.0,	14334.369999885559,	3.738116e-11,	14333.990000009537,	1.836691e-08,	14334.069999933243,	1.326477e-09,	14334.140000104904,	1.106902e-10,	-0.0001112961
14335.039999961853,	2.530743e-10,	14334.77999997139,	2.256035e-10,	14334.849999904633,	2.056656e-12,	13748.08999991417,	0.05115705,	18.0,	14334.930000066757,	3.657649e-11,	14334.549999952316,	1.828279e-08,	14334.630000114441,	1.322234e-09,	14334.700000047684,	1.102867e-10,	-0.0001160272
14335.609999895096,	2.533425e-10,	14335.33999991417,	2.269347e-10,	14335.420000076294,	2.166516e-12,	13748.269999980927,	0.05111497,	18.0,	14335.490000009537,	3.651817e-11,	14335.119999885559,	1.830509e-08,	14335.19000005722,	1.319328e-09,	14335.269999980927,	1.111207e-10,	-0.0001618497
14336.170000076294,	2.543504e-10,	14335.900000095367,	2.250551e-10,	14335.980000019073,	2.093456e-12,	13748.420000076294,	0.05116466,	18.0,	14336.049999952316,	3.626203e-11,	14335.680000066757,	1.825253e-08,	14335.759999990463,	1.318305e-09,	14335.829999923706,	1.109733e-10,	-0.0001029405
14336.730000019073,	2.546335e-10,	14336.47000002861,	2.268617e-10,	14336.539999961853,	2.217369e-12,	13748.579999923706,	0.05114175,	18.0,	14336.619999885559,	3.596703e-11,	14336.240000009537,	1.830322e-08,	14336.319999933243,	1.322468e-09,	14336.390000104904,	1.112552e-10,	-0.0001118684
14337.289999961853,	2.520777e-10,	14337.02999997139,	2.257918e-10,	14337.099999904633,	2.064136e-12,	13748.75,	0.05111884,	18.0,	14337.180000066757,	3.577229e-11,	14336.80999994278,	1.831607e-08,	14336.880000114441,	1.32469e-09,	14336.960000038147,	1.112112e-10,	-9.950665e-05
14337.859999895096,	2.529508e-10,	14337.58999991417,	2.264185e-10,	14337.670000076294,	1.98335e-12,	13748.930000066757,	0.05119145,	18.0,	14337.740000009537,	3.561693e-11,	14337.369999885559,	1.829343e-08,	14337.44000005722,	1.31904e-09,	14337.519999980927,	1.113419e-10,	-0.0001467027
14338.420000076294,	2.54376e-10,	14338.16000008583,	2.262445e-10,	14338.230000019073,	2.108155e-12,	13749.109999895096,	0.05115324,	18.0,	14338.299999952316,	3.543621e-11,	14337.930000066757,	1.83395e-08,	14338.009999990463,	1.321636e-09,	14338.079999923706,	1.108317e-10,	-0.0001418572
14338.980000019073,	2.53683e-10,	14338.72000002861,	2.270141e-10,	14338.789999961853,	1.956661e-12,	13749.269999980927,	0.05110355,	18.0,	14338.869999885559,	3.481591e-11,	14338.5,	1.833467e-08,	14338.569999933243,	1.325404e-09,	14338.640000104904,	1.099523e-10,	-9.054055e-05
14339.549999952316,	2.545275e-10,	14339.27999997139,	2.25943e-10,	14339.359999895096,	2.018628e-12,	13749.420000076294,	0.05111504,	18.0,	14339.430000066757,	3.478214e-11,	14339.05999994278,	1.831603e-08,	14339.130000114441,	1.325254e-09,	14339.210000038147,	1.10263e-10,	-0.0001186216
14340.109999895096,	2.535707e-10,	14339.83999991417,	2.256699e-10,	14339.920000076294,	2.010909e-12,	13749.579999923706,	0.05118764,	18.0,	14339.990000009537,	3.465626e-11,	14339.619999885559,	1.829775e-08,	14339.69000005722,	1.320504e-09,	14339.769999980927,	1.103641e-10,	-0.0001334252
14340.670000076294,	2.530749e-10,	14340.41000008583,	2.258063e-10,	14340.480000019073,	2.004744e-12,	13749.730000019073,	0.05115324,	18.0,	14340.55999994278,	3.405293e-11,	14340.180000066757,	1.829157e-08,	14340.259999990463,	1.32086e-09,	14340.329999923706,	1.097516e-10,	-0.0001499839
14341.230000019073,	2.54148e-10,	14340.97000002861,	2.280627e-10,	14341.039999961853,	2.0756e-12,	13749.890000104904,	0.05113034,	18.0,	14341.119999885559,	3.381845e-11,	14340.75,	1.832359e-08,	14340.819999933243,	1.319917e-09,	14340.890000104904,	1.107443e-10,	-0.0001004605
14341.799999952316,	2.546943e-10,	14341.52999997139,	2.283599e-10,	14341.609999895096,	2.112824e-12,	13750.05999994278,	0.05115705,	18.0,	14341.680000066757,	3.373121e-11,	14341.30999994278,	1.835122e-08,	14341.380000114441,	1.324025e-09,	14341.460000038147,	1.11115e-10,	-0.0001154167
14342.359999895096,	2.540411e-10,	14342.099999904633,	2.261968e-10,	14342.170000076294,	2.092592e-12,	13750.22000002861,	0.05113795,	18.0,	14342.240000009537,	3.332093e-11,	14341.869999885559,	1.833145e-08,	14341.950000047684,	1.323008e-09,	14342.019999980927,	1.110043e-10,	-0.0001384615
14342.920000076294,	2.540696e-10,	14342.66000008583,	2.254694e-10,	14342.730000019073,	2.117695e-12,	13750.400000095367,	0.05114175,	18.0,	14342.80999994278,	3.28931e-11,	14342.430000066757,	1.835198e-08,	14342.509999990463,	1.316929e-09,	14342.579999923706,	1.102795e-10,	-0.0001166758
14343.490000009537,	2.544705e-10,	14343.22000002861,	2.266012e-10,	14343.299999952316,	2.207087e-12,	13750.569999933243,	0.05117995,	18.0,	14343.369999885559,	3.265273e-11,	14343.0,	1.832386e-08,	14343.069999933243,	1.324256e-09,	14343.150000095367,	1.102196e-10,	-0.0001265576
14344.049999952316,	2.547837e-10,	14343.77999997139,	2.264586e-10,	14343.859999895096,	2.182252e-12,	13750.75,	0.05109974,	18.0,	14343.930000066757,	3.245853e-11,	14343.55999994278,	1.83659e-08,	14343.630000114441,	1.321624e-09,	14343.710000038147,	1.104269e-10,	-9.416515e-05
14344.609999895096,	2.551225e-10,	14344.349999904633,	2.256584e-10,	14344.420000076294,	2.059743e-12,	13750.900000095367,	0.05114944,	18.0,	14344.490000009537,	3.236004e-11,	14344.119999885559,	1.832779e-08,	14344.200000047684,	1.318126e-09,	14344.269999980927,	1.103878e-10,	-0.0001144629
14345.170000076294,	2.537525e-10,	14344.91000008583,	2.269474e-10,	14344.980000019073,	1.958595e-12,	13751.05999994278,	0.05110355,	18.0,	14345.05999994278,	3.217257e-11,	14344.69000005722,	1.836591e-08,	14344.759999990463,	1.323018e-09,	14344.829999923706,	1.1056e-10,	-9.202855e-05
14345.740000009537,	2.547033e-10,	14345.47000002861,	2.256199e-10,	14345.549999952316,	2.220222e-12,	13751.230000019073,	0.05111884,	18.0,	14345.619999885559,	3.135568e-11,	14345.25,	1.832451e-08,	14345.319999933243,	1.321649e-09,	14345.400000095367,	1.097022e-10,	-0.0001345699
14346.299999952316,	2.528434e-10,	14346.02999997139,	2.278553e-10,	14346.109999895096,	2.1129e-12,	13751.400000095367,	0.05112265,	18.0,	14346.180000066757,	3.100282e-11,	14345.80999994278,	1.832864e-08,	14345.890000104904,	1.320463e-09,	14345.960000038147,	1.103917e-10,	-0.0001037035
14346.859999895096,	2.535942e-10,	14346.599999904633,	2.272399e-10,	14346.670000076294,	2.059566e-12,	13751.55999994278,	0.05106154,	18.0,	14346.75,	3.238096e-11,	14346.369999885559,	1.834061e-08,	14346.450000047684,	1.329158e-09,	14346.519999980927,	1.105568e-10,	-0.0001111817
14347.420000076294,	2.540884e-10,	14347.16000008583,	2.256623e-10,	14347.230000019073,	2.134299e-12,	13751.72000002861,	0.05113406,	18.0,	14347.30999994278,	3.076754e-11,	14346.94000005722,	1.830378e-08,	14347.009999990463,	1.32325e-09,	14347.08999991417,	1.100339e-10,	-0.0001304874
14347.990000009537,	2.541993e-10,	14347.72000002861,	2.253382e-10,	14347.799999952316,	2.055919e-12,	13751.94000005722,	0.05111504,	18.0,	14347.869999885559,	3.055443e-11,	14347.5,	1.823665e-08,	14347.569999933243,	1.316296e-09,	14347.650000095367,	1.096583e-10,	-0.0001536085
14348.549999952316,	2.542679e-10,	14348.289999961853,	2.276636e-10,	14348.359999895096,	2.054498e-12,	13752.08999991417,	0.05109974,	18.0,	14348.430000066757,	2.990181e-11,	14348.05999994278,	1.836853e-08,	14348.140000104904,	1.32416e-09,	14348.210000038147,	1.103793e-10,	-0.0001306782
14349.109999895096,	2.544043e-10,	14348.849999904633,	2.260591e-10,	14348.920000076294,	2.079367e-12,	13752.25,	0.05113414,	18.0,	14349.0,	2.956237e-11,	14348.619999885559,	1.831111e-08,	14348.700000047684,	1.320828e-09,	14348.769999980927,	1.103701e-10,	-0.0001311742
14349.680000066757,	2.520494e-10,	14349.41000008583,	2.258161e-10,	14349.480000019073,	2.22711e-12,	13752.400000095367,	0.05121055,	18.0,	14349.55999994278,	2.949706e-11,	14349.19000005722,	1.830397e-08,	14349.259999990463,	1.319689e-09,	14349.33999991417,	1.092191e-10,	-0.000126901
14350.240000009537,	2.554948e-10,	14349.97000002861,	2.254668e-10,	14350.049999952316,	2.111419e-12,	13752.579999923706,	0.05117607,	18.0,	14350.119999885559,	2.931127e-11,	14349.75,	1.829713e-08,	14349.819999933243,	1.320054e-09,	14349.900000095367,	1.093199e-10,	-0.0001198044
14350.799999952316,	2.532843e-10,	14350.539999961853,	2.261553e-10,	14350.609999895096,	2.088105e-12,	13752.730000019073,	0.05116473,	18.0,	14350.680000066757,	2.882291e-11,	14350.30999994278,	1.833165e-08,	14350.390000104904,	1.325116e-09,	14350.460000038147,	1.097335e-10,	-0.0001540282
14351.359999895096,	2.533995e-10,	14351.099999904633,	2.253613e-10,	14351.170000076294,	2.126019e-12,	13752.890000104904,	0.05115324,	18.0,	14351.25,	2.868352e-11,	14350.880000114441,	1.827043e-08,	14350.950000047684,	1.318704e-09,	14351.019999980927,	1.092454e-10,	-0.0001302585
14351.920000076294,	2.540218e-10,	14351.66000008583,	2.269026e-10,	14351.740000009537,	2.079548e-12,	13753.049999952316,	0.05118376,	18.0,	14351.80999994278,	2.887113e-11,	14351.44000005722,	1.828183e-08,	14351.509999990463,	1.316884e-09,	14351.58999991417,	1.09696e-10,	-0.000130144
14352.490000009537,	2.530587e-10,	14352.22000002861,	2.258154e-10,	14352.299999952316,	2.130445e-12,	13753.319999933243,	0.05113026,	18.0,	14352.369999885559,	2.83455e-11,	14352.0,	1.831649e-08,	14352.069999933243,	1.320467e-09,	14352.150000095367,	1.093576e-10,	-0.0001657795
14353.049999952316,	2.538487e-10,	14352.789999961853,	2.259741e-10,	14352.859999895096,	1.976203e-12,	13753.490000009537,	0.05113787,	18.0,	14352.930000066757,	2.817971e-11,	14352.55999994278,	1.828102e-08,	14352.640000104904,	1.318239e-09,	14352.710000038147,	1.101831e-10,	-0.0001108001
14353.609999895096,	2.525789e-10,	14353.349999904633,	2.276323e-10,	14353.420000076294,	2.240916e-12,	13753.640000104904,	0.05111116,	18.0,	14353.5,	2.804283e-11,	14353.119999885559,	1.833009e-08,	14353.200000047684,	1.316106e-09,	14353.269999980927,	1.100724e-10,	-0.0001111435
14354.180000066757,	2.531404e-10,	14353.91000008583,	2.251779e-10,	14353.990000009537,	2.217542e-12,	13753.799999952316,	0.05110355,	18.0,	14354.05999994278,	2.763214e-11,	14353.69000005722,	1.825764e-08,	14353.759999990463,	1.316654e-09,	14353.83999991417,	1.089854e-10,	-0.0001301822
14354.740000009537,	2.53041e-10,	14354.47000002861,	2.256878e-10,	14354.549999952316,	2.029853e-12,	13753.960000038147,	0.05117615,	18.0,	14354.619999885559,	2.72037e-11,	14354.25,	1.827125e-08,	14354.329999923706,	1.315733e-09,	14354.400000095367,	1.097182e-10,	-0.0001142721
14355.299999952316,	2.522021e-10,	14355.039999961853,	2.257608e-10,	14355.109999895096,	2.101304e-12,	13754.119999885559,	0.05113026,	18.0,	14355.19000005722,	2.749383e-11,	14354.80999994278,	1.825974e-08,	14354.890000104904,	1.318421e-09,	14354.960000038147,	1.080226e-10,	-0.00011225
14355.859999895096,	2.52218e-10,	14355.599999904633,	2.259287e-10,	14355.670000076294,	2.076077e-12,	13754.289999961853,	0.05115324,	18.0,	14355.75,	2.692823e-11,	14355.380000114441,	1.825864e-08,	14355.450000047684,	1.321938e-09,	14355.52999997139,	1.093546e-10,	-0.0001167903
14356.430000066757,	2.518636e-10,	14356.16000008583,	2.262806e-10,	14356.240000009537,	2.025587e-12,	13754.460000038147,	0.05111116,	18.0,	14356.30999994278,	2.660388e-11,	14355.94000005722,	1.826714e-08,	14356.009999990463,	1.320291e-09,	14356.08999991417,	1.098189e-10,	-0.0001197281
14356.990000009537,	2.53456e-10,	14356.72000002861,	2.256877e-10,	14356.799999952316,	2.137538e-12,	13754.680000066757,	0.05113406,	18.0,	14356.869999885559,	2.67037e-11,	14356.5,	1.830455e-08,	14356.579999923706,	1.320868e-09,	14356.650000095367,	1.097739e-10,	-0.000126176
14357.549999952316,	2.528241e-10,	14357.289999961853,	2.268089e-10,	14357.359999895096,	2.045452e-12,	13754.83999991417,	0.05112645,	18.0,	14357.44000005722,	2.603243e-11,	14357.05999994278,	1.83068e-08,	14357.140000104904,	1.324122e-09,	14357.210000038147,	1.09941e-10,	-0.0001454055
14358.119999885559,	2.529291e-10,	14357.849999904633,	2.282875e-10,	14357.920000076294,	2.070739e-12,	13755.009999990463,	0.05111877,	18.0,	14358.0,	2.597105e-11,	14357.630000114441,	1.829657e-08,	14357.700000047684,	1.318241e-09,	14357.77999997139,	1.086988e-10,	-0.0001054205
14358.680000066757,	2.540351e-10,	14358.41000008583,	2.262963e-10,	14358.490000009537,	1.947488e-12,	13755.16000008583,	0.05116854,	18.0,	14358.55999994278,	2.580555e-11,	14358.19000005722,	1.832724e-08,	14358.259999990463,	1.320587e-09,	14358.33999991417,	1.093049e-10,	-0.0001225133
14359.240000009537,	2.538315e-10,	14358.980000019073,	2.268462e-10,	14359.049999952316,	2.000309e-12,	13755.319999933243,	0.05111497,	18.0,	14359.130000114441,	2.572445e-11,	14358.75,	1.835091e-08,	14358.829999923706,	1.325566e-09,	14358.900000095367,	1.090571e-10,	-0.0001111817
14359.799999952316,	2.541916e-10,	14359.539999961853,	2.267995e-10,	14359.609999895096,	2.126811e-12,	13755.509999990463,	0.05113795,	18.0,	14359.69000005722,	2.567411e-11,	14359.30999994278,	1.832606e-08,	14359.390000104904,	1.31787e-09,	14359.460000038147,	1.085984e-10,	-0.000134112
14360.369999885559,	2.534333e-10,	14360.099999904633,	2.276709e-10,	14360.180000066757,	2.333625e-12,	13755.680000066757,	0.05111504,	18.0,	14360.25,	2.542367e-11,	14359.880000114441,	1.83713e-08,	14359.950000047684,	1.324479e-09,	14360.02999997139,	1.094706e-10,	-9.763713e-05
14360.930000066757,	2.539464e-10,	14360.66000008583,	2.26187e-10,	14360.740000009537,	2.111934e-12,	13755.869999885559,	0.05116466,	18.0,	14360.80999994278,	2.523329e-11,	14360.44000005722,	1.836747e-08,	14360.509999990463,	1.326047e-09,	14360.58999991417,	1.09807e-10,	-0.0001365157
14361.490000009537,	2.538705e-10,	14361.230000019073,	2.270353e-10,	14361.299999952316,	2.028692e-12,	13756.02999997139,	0.05114556,	18.0,	14361.380000114441,	2.480312e-11,	14361.0,	1.836961e-08,	14361.079999923706,	1.326935e-09,	14361.150000095367,	1.09476e-10,	-0.0001369354
14362.049999952316,	2.536101e-10,	14361.789999961853,	2.250873e-10,	14361.859999895096,	2.035689e-12,	13756.259999990463,	0.05111884,	18.0,	14361.94000005722,	2.504256e-11,	14361.569999933243,	1.836094e-08,	14361.640000104904,	1.322069e-09,	14361.72000002861,	1.088533e-10,	-0.0001133183
14362.619999885559,	2.541668e-10,	14362.349999904633,	2.267151e-10,	14362.430000066757,	2.512796e-12,	13756.420000076294,	0.05119145,	18.0,	14362.5,	2.448536e-11,	14362.130000114441,	1.832091e-08,	14362.200000047684,	1.32088e-09,	14362.27999997139,	1.088825e-10,	-0.0001141576
14363.180000066757,	2.548057e-10,	14362.920000076294,	2.279969e-10,	14362.990000009537,	2.100206e-12,	13756.579999923706,	0.05117995,	18.0,	14363.05999994278,	2.425407e-11,	14362.69000005722,	1.841896e-08,	14362.769999980927,	1.324519e-09,	14362.83999991417,	1.102814e-10,	-0.0001054586
14363.740000009537,	2.553589e-10,	14363.480000019073,	2.272709e-10,	14363.549999952316,	2.077745e-12,	13756.730000019073,	0.05113414,	18.0,	14363.630000114441,	2.442637e-11,	14363.25,	1.839313e-08,	14363.329999923706,	1.325116e-09,	14363.400000095367,	1.095707e-10,	-0.0001306782
14364.30999994278,	2.535259e-10,	14364.039999961853,	2.263203e-10,	14364.119999885559,	2.02814e-12,	13756.890000104904,	0.05109974,	18.0,	14364.19000005722,	2.411082e-11,	14363.819999933243,	1.8331e-08,	14363.890000104904,	1.32305e-09,	14363.97000002861,	1.090405e-10,	-0.0001135853
14364.869999885559,	2.547265e-10,	14364.599999904633,	2.27139e-10,	14364.680000066757,	2.110323e-12,	13757.049999952316,	0.05120674,	18.0,	14364.75,	2.394208e-11,	14364.380000114441,	1.834877e-08,	14364.450000047684,	1.325564e-09,	14364.52999997139,	1.088303e-10,	-0.0001076334
14365.430000066757,	2.544432e-10,	14365.170000076294,	2.280932e-10,	14365.240000009537,	2.072191e-12,	13757.210000038147,	0.05114556,	18.0,	14365.319999933243,	2.366427e-11,	14364.94000005722,	1.837612e-08,	14365.019999980927,	1.322434e-09,	14365.08999991417,	1.106673e-10,	-0.0001241539
14365.990000009537,	2.533853e-10,	14365.730000019073,	2.267689e-10,	14365.799999952316,	2.082118e-12,	13757.369999885559,	0.05114944,	18.0,	14365.880000114441,	2.30107e-11,	14365.5,	1.835584e-08,	14365.579999923706,	1.326314e-09,	14365.650000095367,	1.082384e-10,	-9.27916e-05
14366.55999994278,	2.517714e-10,	14366.289999961853,	2.264065e-10,	14366.369999885559,	2.040825e-12,	13757.519999980927,	0.05121435,	18.0,	14366.44000005722,	2.334388e-11,	14366.069999933243,	1.834258e-08,	14366.140000104904,	1.320194e-09,	14366.22000002861,	1.095158e-10,	-0.0001210635
14367.119999885559,	2.545125e-10,	14366.849999904633,	2.278572e-10,	14366.930000066757,	2.084916e-12,	13757.670000076294,	0.05114563,	18.0,	14367.0,	2.305048e-11,	14366.630000114441,	1.833701e-08,	14366.710000038147,	1.320514e-09,	14366.77999997139,	1.088963e-10,	-0.0001762336
14367.680000066757,	2.543954e-10,	14367.420000076294,	2.268917e-10,	14367.490000009537,	2.242267e-12,	13757.829999923706,	0.05110355,	18.0,	14367.569999933243,	2.307575e-11,	14367.19000005722,	1.835848e-08,	14367.269999980927,	1.320619e-09,	14367.33999991417,	1.094986e-10,	-0.0001401784
14368.240000009537,	2.537815e-10,	14367.980000019073,	2.262212e-10,	14368.049999952316,	2.216222e-12,	13757.990000009537,	0.05115324,	18.0,	14368.130000114441,	2.273756e-11,	14367.759999990463,	1.832504e-08,	14367.829999923706,	1.318957e-09,	14367.91000008583,	1.097971e-10,	-0.0001168666
14368.80999994278,	2.537664e-10,	14368.539999961853,	2.275586e-10,	14368.619999885559,	2.172368e-12,	13758.140000104904,	0.05115317,	18.0,	14368.69000005722,	2.274702e-11,	14368.319999933243,	1.832026e-08,	14368.390000104904,	1.321678e-09,	14368.47000002861,	1.095077e-10,	-9.51953e-05
14369.369999885559,	2.536971e-10,	14369.099999904633,	2.266375e-10,	14369.180000066757,	1.995693e-12,	13758.299999952316,	0.05111116,	18.0,	14369.25,	2.245451e-11,	14368.880000114441,	1.830324e-08,	14368.950000047684,	1.319405e-09,	14369.02999997139,	1.089115e-10,	-9.672143e-05
14369.930000066757,	2.556559e-10,	14369.670000076294,	2.275485e-10,	14369.740000009537,	2.11253e-12,	13758.460000038147,	0.05119525,	18.0,	14369.819999933243,	2.241575e-11,	14369.44000005722,	1.82966e-08,	14369.519999980927,	1.321915e-09,	14369.58999991417,	1.090759e-10,	-0.0001397969
14370.490000009537,	2.531352e-10,	14370.230000019073,	2.287403e-10,	14370.299999952316,	2.237668e-12,	13758.640000104904,	0.05116466,	18.0,	14370.380000114441,	2.225413e-11,	14370.009999990463,	1.841659e-08,	14370.079999923706,	1.322877e-09,	14370.16000008583,	1.099093e-10,	-0.0001212161
14371.05999994278,	2.537914e-10,	14370.789999961853,	2.271656e-10,	14370.869999885559,	2.11908e-12,	13758.80999994278,	0.05116466,	18.0,	14370.94000005722,	2.199507e-11,	14370.569999933243,	1.835643e-08,	14370.640000104904,	1.323905e-09,	14370.72000002861,	1.090616e-10,	-0.0001312886
