ixdat version = 0.2.1dev
name = 2021-11-11 08_56_25 CO-strip.tsv
technique = MS
tstamp = 1636617385.0
backend_name = BackendBase(none, address=none)
id = 2
timecol 'M2-x' for: 'M2'
timecol 'M32-x' for: 'M32'
timecol 'M40-x' for: 'M40'
timecol 'time/s' for: 'Ewe/V' and 'cycle number' and 'I/mA'
timecol 'M44-x' for: 'M44'
timecol 'M4-x' for: 'M4'
timecol 'M18-x' for: 'M18'
timecol 'M28-x' for: 'M28'
aliases = {"t": ["time/s"], "raw_potential": ["Ewe/V", "<Ewe>/V"], "raw_current": ["I/mA", "<I>/mA"], "cycle": ["cycle number"]}
N_header_lines = 18

M2-x,	M2,	M32-x,	M32,	M40-x,	M40,	time/s,	Ewe/V,	cycle number,	M44-x,	M44,	M4-x,	M4,	M18-x,	M18,	M28-x,	M28,	I/mA
13510.670000076294,	2.513554e-10,	13510.400000095367,	2.31952e-10,	13510.480000019073,	2.1625e-12,	13503.22000002861,	0.1376881,	18.0,	13510.549999952316,	1.010859e-11,	13510.180000066757,	1.848759e-08,	13510.259999990463,	1.337094e-09,	13510.329999923706,	1.146833e-10,	-0.002027868
13511.230000019073,	2.530961e-10,	13510.97000002861,	2.312173e-10,	13511.039999961853,	2.277204e-12,	13503.420000076294,	0.1367024,	18.0,	13511.119999885559,	1.018779e-11,	13510.740000009537,	1.852553e-08,	13510.819999933243,	1.330718e-09,	13510.890000104904,	1.138353e-10,	-0.002328099
13511.799999952316,	2.528443e-10,	13511.52999997139,	2.316509e-10,	13511.609999895096,	2.322545e-12,	13503.569999933243,	0.1359155,	18.0,	13511.680000066757,	1.014284e-11,	13511.30999994278,	1.852733e-08,	13511.380000114441,	1.332859e-09,	13511.460000038147,	1.136459e-10,	-0.002394448
13512.359999895096,	2.521012e-10,	13512.08999991417,	2.318057e-10,	13512.170000076294,	2.213984e-12,	13503.730000019073,	0.1351247,	18.0,	13512.240000009537,	1.040916e-11,	13511.869999885559,	1.851795e-08,	13511.94000005722,	1.336213e-09,	13512.019999980927,	1.147576e-10,	-0.002317187
13512.920000076294,	2.519966e-10,	13512.66000008583,	2.326801e-10,	13512.730000019073,	2.224073e-12,	13503.880000114441,	0.1343147,	18.0,	13512.799999952316,	9.959294e-12,	13512.430000066757,	1.853462e-08,	13512.509999990463,	1.332338e-09,	13512.579999923706,	1.149014e-10,	-0.002107723
13513.480000019073,	2.513711e-10,	13513.22000002861,	2.311172e-10,	13513.289999961853,	2.102909e-12,	13504.05999994278,	0.1335163,	18.0,	13513.369999885559,	1.001029e-11,	13512.990000009537,	1.853819e-08,	13513.069999933243,	1.33462e-09,	13513.140000104904,	1.153335e-10,	-0.002520737
13514.049999952316,	2.515968e-10,	13513.77999997139,	2.320784e-10,	13513.859999895096,	2.278513e-12,	13504.230000019073,	0.1326262,	18.0,	13513.930000066757,	1.001937e-11,	13513.55999994278,	1.851394e-08,	13513.630000114441,	1.332828e-09,	13513.710000038147,	1.140231e-10,	-0.001655221
13514.609999895096,	2.511523e-10,	13514.33999991417,	2.306643e-10,	13514.420000076294,	2.377081e-12,	13504.400000095367,	0.1317704,	18.0,	13514.490000009537,	1.005363e-11,	13514.119999885559,	1.846901e-08,	13514.19000005722,	1.330667e-09,	13514.269999980927,	1.136189e-10,	-0.002225618
13515.170000076294,	2.525748e-10,	13514.91000008583,	2.318892e-10,	13514.980000019073,	2.216034e-12,	13504.569999933243,	0.1309032,	18.0,	13515.049999952316,	1.005362e-11,	13514.680000066757,	1.840648e-08,	13514.759999990463,	1.328292e-09,	13514.829999923706,	1.145583e-10,	-0.002560836
13515.730000019073,	2.526568e-10,	13515.47000002861,	2.30527e-10,	13515.539999961853,	2.248638e-12,	13504.730000019073,	0.1301085,	18.0,	13515.619999885559,	1.017359e-11,	13515.240000009537,	1.850249e-08,	13515.319999933243,	1.332647e-09,	13515.390000104904,	1.143658e-10,	-0.002457707
